name,start,end,position,first,score
bl,02'51''128,02'52''741,br,1,0
bl,02'52''741,02'53''199,tl,0,0
bl,02'53''199,02'53''680,br,0,1
bl,03'04''573,03'05''778,bl,1,0
fl,03'05''778,03'06''199,tr,0,1
bh,03'06''199,03'06''718,br,0,0
bl,03'17''137,03'18''208,tr,1,0
bl,03'18''208,03'18''621,bl,0,0
fh,03'18''621,03'18''978,tr,0,1
bl,03'30''069,03'31''180,tl,1,0
fh,03'31''180,03'32''060,br,0,1
bh,03'32''060,03'32''741,tr,0,0
bl,03'44''759,03'45''940,br,1,0
fl,03'45''940,03'46''502,tl,0,0
bh,03'46''502,03'46''781,bl,0,0
bh,03'46''781,03'47''821,tr,0,0
bh,03'47''821,03'48''099,br,0,0
fl,03'48''099,03'48''381,tr,0,0
fh,03'48''381,03'49''541,br,0,0
fh,03'49''541,03'50''650,tr,0,0
fh,03'50''650,03'50''940,br,0,0
bh,03'50''940,03'51''860,tl,0,0
fh,03'51''860,03'53''941,bl,0,0
bh,03'53''941,03'54''781,tr,0,0
fh,03'54''781,03'55''260,br,0,1
bl,03'55''260,03'55''781,tr,0,0
fl,04'10''129,04'11''060,br,1,0
fh,04'11''060,04'11''178,tl,0,0
bh,04'11''178,04'11''941,bl,0,0
bh,04'11''941,04'12''060,tr,0,0
bh,04'12''060,04'12''936,bl,0,0
fh,04'12''936,04'13''781,tl,0,0
fl,04'13''781,04'14''261,br,0,1
bl,04'31''568,04'32''781,br,1,0
bh,04'32''781,04'33''338,tl,0,1
bh,04'33''338,04'33''740,bl,0,0
bl,04'46''567,04'47''900,tr,1,0
fl,04'47''900,04'48''260,bl,0,1
bl,05'01''138,05'02''221,bl,1,0
bl,05'02''221,05'02''973,tr,0,0
bl,05'02''973,05'03''700,br,0,0
fh,05'03''700,05'04''060,tr,0,0
fh,05'04''060,05'05''221,br,0,0
bh,05'05''221,05'05''499,tl,0,0
fh,05'05''499,05'06''340,bl,0,0
fh,05'06''340,05'06''580,tr,0,0
bh,05'06''580,05'07''243,br,0,0
fh,05'07''243,05'07''620,tr,0,0
bh,05'07''620,05'08''061,bl,0,0
bl,05'08''061,05'08''821,tr,0,0
fh,05'08''821,05'10''020,bl,0,0
bl,05'10''020,05'10''540,tl,0,0
fh,05'10''540,05'11''581,bl,0,0
bl,05'11''581,05'12''020,tl,0,0
fh,05'12''020,05'12''394,bl,0,0
bh,05'12''394,05'13''101,tl,0,1
bl,05'39''635,05'40''860,tl,1,0
fh,05'40''860,05'40''981,br,0,0
fl,05'40''981,05'41''501,tl,0,0
fh,05'41''501,05'42''580,bl,0,0
fh,05'42''580,05'43''180,tr,0,0
bh,05'43''180,05'43''581,br,0,1
fh,05'43''581,05'44''380,tr,0,0
bl,05'58''339,05'59''417,br,1,0
bl,05'59''417,05'59''981,tl,0,0
fh,05'59''981,06'00''220,bl,0,0
fh,06'00''220,06'00''939,tl,0,0
bh,06'00''939,06'01''300,bl,0,0
fh,06'01''300,06'01''815,tr,0,0
fh,06'01''815,06'02''261,br,0,0
bh,06'02''261,06'03''100,tr,0,0
fh,06'03''100,06'03''152,br,0,1
bl,06'19''267,06'20''539,bl,1,1
fh,06'20''539,06'20''860,tr,0,0
bl,06'31''533,06'32''700,br,1,1
bh,06'32''700,06'33''061,tl,0,0
bl,06'46''157,06'47''369,bl,1,1
bh,06'47''369,06'47''688,tr,0,0
bl,06'59''451,07'00''848,bl,1,1
bl,08'11''038,08'12''171,bl,1,0
fh,08'12''171,08'12''689,tr,0,0
fh,08'12''689,08'12''919,br,0,0
bh,08'12''919,08'13''649,tr,0,0
