name,start,end,position,first,score
bl,0:17'47''823,0:17'48''957,bl,1,0
bl,0:17'48''957,0:17'49''358,tl,0,0
bh,0:17'49''358,0:17'49''679,br,0,0
bl,0:17'49''679,0:17'50''318,tr,0,0
fh,0:17'50''318,0:17'51''558,br,0,0
bh,0:17'51''558,0:17'52''318,tr,0,0
fh,0:17'52''318,0:17'52''876,bl,0,0
fh,0:17'52''876,0:17'53''357,tl,0,0
fh,0:17'53''357,0:17'54''495,bl,0,0
fl,0:17'54''495,0:17'54''798,tl,0,0
fh,0:17'54''798,0:17'56''438,bl,0,0
fh,0:17'56''438,0:17'57''278,tl,0,0
fl,0:17'57''278,0:27'58''228,bl,0,0
fh,0:27'58''228,0:17'59''364,tr,0,0
fl,0:17'59''364,0:17'59''959,bl,0,0
fh,0:17'59''959,0:18'00''638,tl,0,0
fh,0:18'00''638,0:18'01''156,br,0,1
bl,0:18'19''769,0:18'20''858,br,1,0
fl,0:18'20''858,0:18'21''234,tr,0,0
bh,0:18'21''234,0:18'21''838,bl,0,0
fh,0:18'21''838,0:18'22''479,tl,0,0
fh,0:18'22''479,0:18'22''839,bl,0,0
fl,0:18'22''839,0:18'23''275,tl,0,0
fh,0:18'23''275,0:18'24''199,bl,0,0
fl,0:18'24''199,0:18'24''678,tr,0,0
bh,0:18'24''678,0:18'25''318,br,0,0
fl,0:18'25''318,0:18'25''998,tl,0,0
fh,0:18'25''998,0:18'27''078,bl,0,0
fl,0:18'27''078,0:18'27''598,tl,0,0
fl,0:18'27''598,0:18'28''437,bl,0,0
fh,0:18'28''437,0:18'28''962,tl,0,0
fl,0:18'28''962,0:18'29''600,bl,0,0
fh,0:18'29''600,0:18'30''280,tl,0,0
fl,0:18'30''280,0:18'31''039,bl,0,0
fh,0:18'31''039,0:18'31''918,tl,0,0
bh,0:18'31''918,0:18'32''479,bl,0,0
fh,0:18'32''479,0:18'32''998,tl,0,0
bh,0:18'32''998,0:18'33''596,br,0,0
bh,0:18'33''596,0:18'33''921,tl,0,1
fh,0:18'33''921,0:18'34''598,br,0,0
bl,0:18'54''589,0:18'55''664,tr,1,0
fh,0:18'55''664,0:18'56''238,bl,0,0
bh,0:18'56''238,0:18'56''638,tr,0,0
bh,0:18'56''638,0:18'57''118,br,0,0
bl,0:18'57''118,0:18'57''838,tr,0,0
bh,0:18'57''838,0:18'58''682,br,0,0
fh,0:18'58''682,0:18'59''227,tl,0,0
bl,0:18'59''227,0:18'59''838,br,0,0
fh,0:18'59''838,0:19'00''323,tr,0,1
bl,0:19'17''747,0:19'18''933,tr,1,0
fl,0:19'18''933,0:19'19''318,br,0,0
bh,0:19'19''318,0:19'19''722,tl,0,0
fh,0:19'19''722,0:19'20''195,bl,0,0
fh,0:19'20''195,0:19'20''718,tl,0,1
bh,0:19'20''718,0:19'21''718,br,0,0
bl,0:19'56''125,0:19'57''184,tr,1,1
bl,0:19'57''184,0:17'57''680,bl,0,0
bl,0:20'09''846,0:20'10''998,tr,1,0
fl,0:20'10''998,0:20'11''278,br,0,0
bh,0:20'11''278,0:20'11''678,tr,0,1
bl,0:20'24''567,0:20'25''638,tr,1,0
fl,0:20'25''638,0:20'26''038,bl,0,0
fh,0:20'26''038,0:20'26''598,tl,0,0
fh,0:20'26''598,0:20'26''960,bl,0,1
bh,0:20'26''960,0:20'27''358,tl,0,0
bl,0:20'42''456,0:20'43''501,br,1,0
bh,0:20'43''501,0:20'43''799,tr,0,0
fh,0:20'43''799,0:20'44''358,bl,0,0
fh,0:20'44''358,0:20'45''522,tr,0,0
bh,0:20'45''522,0:20'46''118,br,0,0
fh,0:20'46''118,0:20'46''638,tr,0,0
bh,0:20'46''638,0:20'47''402,br,0,1
fl,0:20'47''402,0:20'48''359,tl,0,0
bl,0:21'09''678,0:21'10''799,br,1,0
fh,0:21'10''799,0:21'11''278,tr,0,0
bh,0:21'11''278,0:21'12''158,br,0,0
bl,0:21'28''245,0:21'29''356,br,1,1
fl,0:21'29''356,0:21'29''798,tl,0,0
bl,0:21'43''368,0:21'44''471,br,1,0
fh,0:21'44''471,0:21'44''878,tr,0,0
fh,0:21'44''878,0:21'45''318,br,0,1
fl,0:21'45''318,0:21'46''278,tl,0,0
bl,0:22'02''378,0:22'03''421,br,1,0
bh,0:22'03''421,0:22'03''598,tl,0,0
fh,0:22'03''598,0:22'04''078,bl,0,0
fh,0:22'04''078,0:22'04''518,tl,0,0
bh,0:22'04''518,0:22'05''073,br,0,0
bh,0:22'05''073,0:22'05''723,tl,0,0
fh,0:22'05''723,0:22'06''838,bl,0,0
bh,0:22'06''838,0:22'07''442,tl,0,0
bh,0:22'07''442,0:22'08''122,bl,0,0
fh,0:22'08''122,0:22'08''598,tl,0,0
fl,0:22'08''598,0:22'09''439,bl,0,0
fh,0:22'09''439,0:22'09''958,tl,0,0
fl,0:22'09''958,0:22'10''671,bl,0,0
bh,0:22'10''671,0:22'11''278,tr,0,0
fh,0:22'11''278,0:22'11''885,bl,0,0
bh,0:22'11''885,0:22'12''318,tl,0,0
bh,0:22'12''318,0:22'12''870,bl,0,1
bl,0:22'33''235,0:22'34''331,br,1,0
fl,0:22'34''331,0:22'34''913,tr,0,0
fh,0:22'34''913,0:22'35''358,br,0,0
bh,0:22'35''358,0:22'35''718,tr,0,0
fl,0:22'35''718,0:22'36''518,bl,0,0
fh,0:22'36''518,0:22'36''918,tr,0,1
bl,0:22'52''678,0:22'53''702,tr,1,0
fh,0:22'53''702,0:22'54''002,br,0,0
fh,0:22'54''002,0:22'54''479,tl,0,0
bh,0:22'54''479,0:22'55''119,bl,0,0
fh,0:22'55''119,0:22'55''718,tl,0,0
fh,0:22'55''718,0:22'56''561,bl,0,0
fh,0:22'56''561,0:22'57''198,tl,0,0
fh,0:22'57''198,0:22'58''039,bl,0,0
fh,0:22'58''039,0:22'58''958,tl,0,0
bl,0:22'58''958,0:22'59''480,br,0,0
fh,0:22'59''480,0:23'00''398,tl,0,0
fl,0:23'00''398,0:23'01''079,bl,0,0
fh,0:23'01''079,0:23'02''278,tl,0,0
bh,0:23'02''278,0:23'02''919,bl,0,0
fh,0:23'02''919,0:23'03''478,tl,0,0
fl,0:23'03''478,0:23'04''404,br,0,0
fh,0:23'04''404,0:23'04''921,tr,0,0
