name,start,end,position,first,score
bl,02'05''276,02'06''325,tl,1,0
bh,02'06''325,02'06''582,br,0,0
bh,02'06''582,02'07''078,tr,0,0
fh,02'07''078,02'07''662,bl,0,0
fh,02'07''662,02'08''358,tl,0,0
fl,02'08''358,02'09''479,br,0,0
fh,02'09''479,02'09''918,tr,0,0
bh,02'09''918,02'10''275,bl,0,0
fh,02'10''275,02'10''998,tl,0,0
fl,02'10''998,02'11''479,bl,0,0
fh,02'11''479,02'11''758,tl,0,1
bl,02'14''369,02'15''494,tr,1,0
fh,02'15''494,02'15''952,bl,0,0
bh,02'15''952,02'16''558,tl,0,0
bh,02'16''558,02'17''038,bl,0,1
fh,02'17''038,02'17''195,tl,0,0
bl,02'44''019,02'45''039,bl,1,0
fh,02'45''039,02'45''478,tr,0,1
bh,02'45''478,02'45''832,br,0,0
bl,02'55''758,02'56''879,tl,1,0
bh,02'56''879,02'57''077,br,0,1
bh,02'57''077,02'57''438,tr,0,0
bl,03'06''562,03'07''679,br,1,0
fh,03'07''679,03'07''998,tl,0,0
bh,03'07''998,03'08''558,bl,0,0
fh,03'08''558,03'08''998,tl,0,0
bh,03'08''998,03'09''718,bl,0,0
bh,03'09''718,03'10''278,tr,0,0
fl,03'10''278,03'11''198,bl,0,0
fh,03'11''198,03'12''798,tr,0,0
bh,03'12''798,03'13''158,br,0,0
fh,03'13''158,03'13''801,tr,0,0
bh,03'13''801,03'14''152,br,0,0
fh,03'14''152,03'14''717,tr,0,0
bh,03'14''717,03'15''062,bl,0,0
bh,03'15''062,03'16''058,tr,0,0
fh,03'16''058,03'18''018,br,0,0
bl,03'18''018,03'18''579,tr,0,0
bh,03'18''579,03'19''098,bl,0,0
bh,03'19''098,03'19''698,tl,0,0
fh,03'19''698,03'20''698,bl,0,0
bh,03'20''698,03'21''218,tr,0,0
bh,03'21''218,03'21''858,bl,0,0
fl,03'21''858,03'22''688,tr,0,0
fh,03'22''688,03'23''978,bl,0,0
bl,03'23''978,03'24''458,tl,0,0
fh,03'24''458,03'24''978,br,0,0
bh,03'24''978,03'25''378,tl,0,0
fh,03'25''378,03'26''058,bl,0,1
fl,03'26''058,03'26''931,tl,0,0
bl,03'52''537,03'53''698,bl,1,1
bl,04'05''376,04'06''462,br,1,0
bh,04'06''462,04'06''938,tl,0,0
bh,04'06''938,04'07''176,br,0,0
bl,04'07''176,04'07''698,tr,0,0
fh,04'07''698,04'08''373,bl,0,0
bh,04'08''373,04'09''098,tr,0,0
bl,04'09''098,04'10''058,bl,0,0
fh,04'10''058,04'11''821,tl,0,0
bh,04'11''821,04'12''293,br,0,0
fh,04'12''293,04'13''052,tr,0,0
bh,04'13''052,04'13''610,bl,0,0
fh,04'13''610,04'14''259,tr,0,0
fh,04'14''259,04'14''692,br,0,1
bl,04'53''037,04'54''058,bl,1,0
fh,04'54''058,04'54''539,tr,0,0
fl,04'54''539,04'55''058,br,0,0
fh,04'55''058,04'56''537,tr,0,0
bh,04'56''537,04'57''018,bl,0,0
bh,04'57''018,04'57''613,tl,0,0
fh,04'57''613,04'57''898,bl,0,0
fh,04'57''898,04'58''378,tl,0,1
fh,04'58''378,04'58''698,br,0,0
bl,05'13''567,05'14''675,tl,1,0
bh,05'14''675,05'15''218,br,0,0
bl,05'15''218,05'16''098,tl,0,0
fh,05'16''098,05'17''938,bl,0,0
bh,05'17''938,05'18''378,tr,0,0
fh,05'18''378,05'18''898,br,0,0
fl,05'18''898,05'19''578,tr,0,0
fh,05'19''578,05'20''818,br,0,0
bh,05'20''818,05'21''298,tr,0,0
bh,05'21''298,05'22''251,br,0,0
fh,05'22''251,05'23''578,tr,0,0
bh,05'23''578,05'24''050,br,0,0
fh,05'24''050,05'24''779,tr,0,0
bh,05'24''779,05'25''261,br,0,0
fh,05'25''261,05'25''855,tl,0,0
bl,05'25''855,05'26''294,br,0,0
fh,05'26''294,05'26''777,tl,0,1
bl,05'47''346,05'48''515,tr,1,0
fh,05'48''515,05'49''338,bl,0,0
bh,05'49''338,05'49''978,tl,0,0
bh,05'49''978,05'50''298,br,0,0
bh,05'50''298,05'50''736,tl,0,0
fh,05'50''736,05'51''098,bl,0,1
fl,05'51''098,05'51''938,tl,0,0
bl,06'12''438,06'13''538,br,1,0
bh,06'13''538,06'13''938,tl,0,1
bh,06'13''938,06'14''378,br,0,0
bl,06'28''216,06'29''326,tl,1,0
fh,06'29''326,06'30''018,br,0,1
bl,06'46''218,06'47''359,br,1,0
fh,06'47''359,06'47''699,tr,0,0
fh,06'47''699,06'48''219,bl,0,0
fh,06'48''219,06'48''740,tl,0,0
fh,06'48''740,06'49''099,br,0,0
fh,06'49''099,06'49''579,tr,0,0
fl,06'49''579,06'50''379,br,0,0
fh,06'50''379,06'51''658,tl,0,0
bl,06'51''658,06'52''011,bl,0,0
fh,06'52''011,06'52''376,tr,0,0
bh,06'52''376,06'52''859,br,0,0
fh,06'52''859,06'53''218,tr,0,0
bh,06'53''218,06'53''619,bl,0,0
fh,06'53''619,06'54''178,tl,0,1
bl,07'13''167,07'14''229,tr,1,0
fh,07'14''229,07'14''769,bl,0,0
fh,07'14''769,07'15''259,tl,0,0
bh,07'15''259,07'15''739,bl,0,0
bh,07'15''739,07'16''219,tr,0,0
fh,07'16''219,07'16''725,br,0,0
bl,07'16''725,07'17''379,tr,0,0
fh,07'17''379,07'18''499,br,0,0
bh,07'18''499,07'19''339,tr,0,0
fh,07'19''339,07'20''579,bl,0,1
bh,07'20''579,07'22''059,tr,0,0
bl,07'56''189,07'57''219,br,1,0
bh,07'57''219,07'57''699,tl,0,0
bh,07'57''699,07'58''099,bl,0,1
fh,07'58''099,07'58''499,tl,0,0
bl,08'12''541,08'13''659,bl,1,0
fh,08'13''659,08'14''099,tr,0,0
bl,08'14''099,08'14''978,br,0,0
fh,08'14''978,08'16''059,tr,0,0
bh,08'16''059,08'16''563,br,0,0
bh,08'16''563,08'17''057,tr,0,0
fh,08'17''057,08'17''619,bl,0,0
fh,08'17''619,08'17''937,tl,0,0
bh,08'17''937,08'18''448,br,0,1
fh,08'18''448,08'18''891,tl,0,0
bl,08'49''016,08'50''088,br,1,0
bh,08'50''088,08'50''407,tl,0,0
bh,08'50''407,08'50''899,bl,0,0
fh,08'50''899,08'51''055,tl,0,1
bl,09'08''736,09'09''939,tl,1,0
bh,09'09''939,09'10''469,br,0,0
bh,09'10''469,09'11''099,tr,0,0
bh,09'11''099,09'11''739,bl,0,0
bh,09'11''739,09'12''259,tl,0,0
fh,09'12''259,09'12''659,bl,0,0
fh,09'12''659,09'13''019,tr,0,0
fh,09'13''019,09'13''739,br,0,0
fh,09'13''739,09'14''059,tr,0,0
fh,09'14''059,09'14''659,bl,0,0
fh,09'14''659,09'15''580,tr,0,0
bl,09'15''580,09'15''979,bl,0,0
fh,09'15''979,09'16''579,tl,0,1
bl,09'35''659,09'36''887,tr,1,0
fh,09'36''887,09'37''299,bl,0,0
