name,start,end,position,first,score
bl,02'35''157,02'36''079,tr,1,0
fh,02'36''079,02'36''478,br,0,1
bl,02'36''478,02'37''240,tr,0,0
bl,02'55''098,02'56''098,bl,1,0
fl,02'56''098,02'56''639,tr,0,0
fh,02'56''639,02'57''718,bl,0,0
bl,02'57''718,02'58''318,tl,0,0
fh,02'58''318,02'58''878,bl,0,1
bl,02'58''878,02'59''239,tr,0,0
bl,03'30''584,03'31''840,br,1,1
bl,03'50''457,03'51''507,bl,1,0
fl,03'51''507,03'51''957,tr,0,0
fh,03'51''957,03'52''718,bl,0,0
bl,03'52''718,03'53''663,tl,0,0
fh,03'53''663,03'54''394,br,0,1
bl,03'54''394,03'55''038,tr,0,0
bl,04'14''168,04'15''568,br,1,0
fh,04'15''568,04'15''998,tl,0,0
fl,04'15''998,04'16''639,bl,0,0
fh,04'16''639,04'17''318,tl,0,0
fl,04'17''318,04'17''998,bl,0,0
fh,04'17''998,04'19''358,tr,0,0
fh,04'19''358,04'19''755,br,0,0
fh,04'19''755,04'20''279,tl,0,0
bh,04'20''279,04'20''594,br,0,0
bl,04'20''594,04'21''760,tr,0,0
fh,04'21''760,04'23''079,br,0,0
fl,04'23''079,04'23''511,tr,0,0
fh,04'23''511,04'24''758,br,0,0
fl,04'24''758,04'25''678,tr,0,0
fh,04'25''678,04'27''038,br,0,0
fl,04'27''038,04'27''518,tl,0,0
fh,04'27''518,04'27''879,bl,0,0
fl,04'27''879,04'28''305,tl,0,0
fh,04'28''305,04'29''120,br,0,0
bl,04'29''120,04'30''160,tr,0,0
fh,04'30''160,04'31''199,bl,0,0
fh,04'31''199,04'31''721,tr,0,1
bh,04'31''721,04'31''952,br,0,0
bl,04'58''157,04'59''479,tr,1,0
bh,04'59''479,04'59''958,bl,0,0
fh,04'59''958,05'00''718,tl,0,0
fh,05'00''718,05'01''787,bl,0,0
fh,05'01''787,05'03''317,tl,0,0
fl,05'03''317,05'03''865,bl,0,0
fl,05'03''865,05'04''599,tl,0,0
bh,05'04''599,05'04''958,bl,0,0
fl,05'04''958,05'05''513,tr,0,0
fh,05'05''513,05'05''879,br,0,0
bh,05'05''879,05'06''240,tl,0,0
bh,05'06''240,05'06''798,br,0,0
fl,05'06''798,05'07''278,tl,0,0
fh,05'07''278,05'07''799,bl,0,1
fl,05'07''799,05'08''514,tl,0,0
bl,05'36''180,05'37''280,bl,1,0
fl,05'37''280,05'37''599,tr,0,0
fh,05'37''599,05'38''304,bl,0,0
fh,05'38''304,05'38''759,tl,0,0
fh,05'38''759,05'39''116,bl,0,0
bl,05'39''116,05'39''948,tl,0,0
fh,05'39''948,05'40''881,bl,0,0
fl,05'40''881,05'41''790,tr,0,0
fh,05'41''790,05'43''116,bl,0,0
fl,05'43''116,05'43''879,tl,0,0
fh,05'43''879,05'44''957,br,0,0
fl,05'44''957,05'45''839,tl,0,0
bh,05'45''839,05'46''839,bl,0,0
fh,05'46''839,05'48''359,tl,0,0
fl,05'48''359,05'48''762,bl,0,0
fh,05'48''762,05'49''880,tl,0,0
fl,05'49''880,05'50''440,bl,0,0
fl,05'50''440,05'51''039,tl,0,0
fh,05'51''039,05'51''519,bl,0,1
fl,05'51''519,05'52''239,tl,0,0
bl,06'18''517,06'19''017,br,1,0
fh,06'19''017,06'19''520,tl,0,0
fh,06'19''520,06'19''995,br,0,0
fl,06'19''995,06'20''359,tl,0,0
fh,06'20''359,06'21''079,br,0,0
fl,06'21''079,06'21''478,tl,0,0
fh,06'21''478,06'22''077,br,0,0
bh,06'22''077,06'22''479,tl,0,0
fh,06'22''479,06'22''879,bl,0,0
fl,06'22''879,06'23''199,tr,0,0
fh,06'23''199,06'23''758,br,0,0
fh,06'23''758,06'24''278,tl,0,0
fh,06'24''278,06'24''798,br,0,0
bl,06'24''798,06'26''320,tr,0,0
fh,06'26''320,06'26''199,bl,0,0
bl,06'26''199,06'27''240,tr,0,0
fh,06'27''240,06'28''238,br,0,0
bh,06'28''238,06'28''759,tr,0,0
bl,06'28''759,06'29''558,br,0,0
bh,06'29''558,06'30''118,tr,0,0
fh,06'30''118,06'30''759,bl,0,0
fh,06'30''759,06'31''316,tr,0,0
fh,06'31''316,06'31''715,br,0,0
bl,06'31''715,06'32''120,tr,0,0
fh,06'32''120,06'32''596,br,0,0
bl,06'32''596,06'33''039,tr,0,0
fl,06'33''039,06'34''039,bl,0,0
fh,06'34''039,06'35''391,tr,0,0
fl,06'35''391,06'35''880,br,0,0
fl,06'35''880,06'36''559,tl,0,0
fh,06'36''559,06'37''919,br,0,0
fl,06'37''919,06'38''558,tr,0,0
fh,06'38''558,06'39''198,br,0,0
bl,06'39''198,06'39''991,tr,0,0
fh,06'39''991,06'41''399,br,0,0
bl,06'41''399,06'42''279,tl,0,0
fh,06'42''279,06'43''480,bl,0,0
fl,06'43''480,06'44''319,tl,0,0
fh,06'44''319,06'45''518,br,0,0
fl,06'45''518,06'45''999,tr,0,0
fh,06'45''999,06'46''635,br,0,0
bh,06'46''635,06'47''279,tr,0,0
fh,06'47''279,06'47''478,bl,0,1
fl,06'47''478,06'48''198,tr,0,0
bl,07'38''007,07'39''009,bl,1,0
fh,07'39''009,07'39''439,tr,0,0
fh,07'39''439,07'39''716,bl,0,0
fh,07'39''716,07'40''118,tr,0,0
fh,07'40''118,07'40''639,bl,0,0
bl,07'40''639,07'41''158,tr,0,0
fh,07'41''158,07'41''599,bl,0,1
bl,07'41''599,07'41''879,tr,0,0
bl,08'30''259,08'31''596,br,1,0
fh,08'31''596,08'31''998,tl,0,0
bh,08'31''998,08'32''598,bl,0,0
fh,08'32''598,08'34''039,tl,0,0
fl,08'34''039,08'34''478,bl,0,0
fl,08'34''478,08'35''078,tl,0,0
fh,08'35''078,08'36''040,bl,0,0
fl,08'36''040,08'36''998,tr,0,0
fh,08'36''998,08'38''562,bl,0,0
bl,08'38''562,08'39''599,tl,0,0
fh,08'39''599,08'40''839,bl,0,0
fl,08'40''839,08'41''322,tl,0,0
fh,08'41''322,08'42''077,bl,0,0
fl,08'42''077,08'42''628,tl,0,0
fh,08'42''628,08'43''558,bl,0,0
bl,08'43''558,08'44''398,tr,0,0
fh,08'44''398,08'45''920,bl,0,0
bl,08'45''920,08'46''478,tr,0,0
fh,08'46''478,08'47''158,br,0,1
bl,08'47''158,08'47''678,tl,0,0
bl,09'16''554,09'17''822,bl,1,0
bl,09'17''822,09'19''119,tr,0,1
fh,09'19''119,09'19''998,br,0,0
bl,09'41''366,09'42''355,tl,1,0
fh,09'42''355,09'43''078,br,0,0
fh,09'43''078,09'44''714,tl,0,0
bh,09'44''714,09'45''118,bl,0,0
fl,09'45''118,09'45''878,tr,0,0
fh,09'45''878,09'47''118,bl,0,0
bl,09'47''118,09'47''439,tl,0,0
fh,09'47''439,09'48''239,bl,0,0
bl,09'48''239,09'49''078,tl,0,0
fh,09'49''078,09'50''145,bl,0,0
fl,09'50''145,09'50''679,tl,0,0
fh,09'50''679,09'51''479,bl,0,1
fh,09'51''479,09'51''939,tr,0,0
bl,10'51''180,10'52''183,br,1,0
fh,10'52''183,10'52''439,tl,0,0
fl,10'52''439,10'52''838,bl,0,0
bl,10'52''838,10'53''760,tr,0,0
fh,10'53''760,10'55''199,br,0,0
bl,10'55''199,10'55''678,tr,0,0
fh,10'55''678,10'56''359,br,0,0
bl,10'56''359,10'57''119,tl,0,0
fh,10'57''119,10'58''038,bl,0,0
bl,10'58''038,10'59''038,tr,0,0
fh,10'59''038,11'00''919,bl,0,0
bl,11'00''919,11'01''838,tl,0,0
fh,11'01''838,11'02''879,bl,0,1
bl,11'02''879,11'03''919,tl,0,0
bl,12'32''200,12'33''289,bl,1,0
fl,12'33''289,12'33''639,tr,0,0
fh,12'33''639,12'34''559,bl,0,0
fl,12'34''559,12'35''395,tl,0,1
bl,12'55''150,12'56''153,tr,1,0
fl,12'56''153,12'56''596,bl,0,0
fh,12'56''596,12'57''158,tr,0,0
fh,12'57''158,12'57''279,br,0,1
bl,13'19''048,13'20''148,br,1,0
fh,13'20''148,13'20''598,tl,0,0
bh,13'20''598,13'21''038,bl,0,0
fh,13'21''038,13'21''839,tr,0,0
fl,13'21''839,13'22''559,bl,0,0
fh,13'22''559,13'23''918,tl,0,0
bh,13'23''918,13'24''318,bl,0,0
bh,13'24''318,13'25''142,tr,0,0
fl,13'25''142,13'25''679,br,0,0
fh,13'25''679,13'27''360,tl,0,0
fl,13'27''360,13'27''883,bl,0,0
fh,13'27''883,13'28''078,tl,0,1
fl,13'28''078,13'28''721,bl,0,0
bl,13'54''520,13'55''645,tl,1,0
bl,14'16''233,14'17''113,bl,1,0
fl,14'17''113,14'17''799,tr,0,0
fh,14'17''799,14'19''439,bl,0,0
bl,14'19''439,14'20''079,tr,0,0
fh,14'20''079,14'20''480,br,0,0
bl,14'20''480,14'20''878,tr,0,0
fh,14'20''878,14'21''957,br,0,0
bl,14'21''957,14'22''510,tl,0,0
fh,14'22''510,14'23''038,bl,0,0
bl,14'23''038,14'23''510,tr,0,0
fh,14'23''510,14'24''319,bl,0,0
fl,14'24''319,14'25''198,tr,0,0
fh,14'25''198,14'26''518,br,0,0
bh,14'26''518,14'26''919,tl,0,1
fh,14'26''919,14'27''278,bl,0,0
bl,14'55''337,14'56''369,tr,1,0
fl,14'56''369,14'56''879,bl,0,0
fh,14'56''879,14'57''438,tl,0,0
fh,14'57''438,14'58''799,br,0,0
bh,14'58''799,14'59''279,tl,0,1
bl,15'17''663,15'18''551,tl,1,0
fh,15'18''551,15'19''038,br,0,0
bl,15'19''038,15'19''878,tr,0,0
fh,15'19''878,15'20''987,br,0,0
bl,15'20''987,15'21''950,tr,0,0
fh,15'21''950,15'23''197,br,0,0
fl,15'23''197,15'23''598,tr,0,0
fh,15'23''598,15'24''278,br,0,0
fl,15'24''278,15'25''115,tl,0,0
fh,15'25''115,15'26''437,br,0,0
fl,15'26''437,15'27''398,tl,0,0
fh,15'27''398,15'28''438,bl,0,0
fl,15'28''438,15'29''358,tr,0,0
fh,15'29''358,15'30''359,br,0,1
bl,15'30''359,15'31''280,tr,0,0
bl,16'00''520,16'01''512,br,1,0
fl,16'01''512,16'01''959,tl,0,0
fh,16'01''959,16'02''479,bl,0,0
fl,16'02''479,16'02''991,tl,0,0
fh,16'02''991,16'03''318,bl,0,0
bl,16'03''318,16'03''720,tl,0,0
fh,16'03''720,16'04''759,bl,0,1
bl,16'29''883,16'30''879,bl,1,0
fh,16'30''879,16'31''278,tr,0,0
bh,16'31''278,16'32''079,bl,0,0
fh,16'32''079,16'33''518,tl,0,0
fl,16'33''518,16'34''243,bl,0,0
fh,16'34''243,16'34''679,tl,0,1
bl,16'53''169,16'54''156,tr,1,0
bl,16'54''156,16'54''557,bl,0,0
bh,16'54''557,16'55''319,tr,0,0
fh,16'55''319,16'55''719,bl,0,0
bl,16'55''719,16'56''638,tr,0,0
fh,16'56''638,16'57''758,bl,0,0
bl,16'57''758,16'58''159,tl,0,0
fh,16'58''159,16'59''040,br,0,0
fh,16'59''040,16'59''599,tl,0,0
fh,16'59''599,17'00''078,br,0,0
bh,17'00''078,17'00''838,tr,0,0
fl,17'00''838,17'01''758,bl,0,0
fh,17'01''758,17'03''159,tr,0,0
bl,17'03''159,17'03''678,br,0,0
fh,17'03''678,17'04''594,tl,0,1
bl,17'04''594,17'05''040,bl,0,0
bl,17'33''210,17'34''120,tl,1,1
fl,17'34''120,17'34''359,br,0,0
bl,17'48''530,17'49''570,tr,1,0
bl,17'49''570,17'50''039,bl,0,0
fl,17'50''039,17'50''878,tl,0,0
fh,17'50''878,17'51''798,br,0,0
fh,17'51''798,17'52''279,tr,0,0
fh,17'52''279,17'52''879,br,0,0
fh,17'52''879,17'53''679,tl,0,0
fh,17'53''679,17'54''159,br,0,0
fl,17'54''159,17'55''799,tl,0,0
fh,17'55''799,17'56''879,bl,0,0
bl,17'56''879,17'57''539,tr,0,0
fh,17'57''539,17'58''402,br,0,0
bl,17'58''402,17'58''839,tl,0,0
fh,17'58''839,17'59''477,bl,0,0
fh,17'59''477,17'59''922,tl,0,0
fh,17'59''922,18'00''558,bl,0,0
fl,18'00''558,18'00''998,tl,0,0
fh,18'00''998,18'01''598,bl,0,0
fl,18'01''598,18'02''119,tr,0,0
fh,18'02''119,18'02''397,bl,0,1
bl,18'02''397,18'02''879,tr,0,0
bl,18'34''257,18'35''269,br,1,0
fh,18'35''269,18'35''518,tl,0,0
bl,18'35''518,18'35''998,bl,0,0
fh,18'35''998,18'36''635,tr,0,0
fh,18'36''635,18'36''918,br,0,0
fh,18'36''918,18'37''398,tr,0,1
fh,18'37''398,18'37''758,br,0,0
bl,19'00''248,19'01''348,tl,1,0
fh,19'01''348,19'02''238,br,0,0
bl,19'02''238,19'03''199,tr,0,0
fh,19'03''199,19'03''880,br,0,0
fh,19'03''880,19'04''238,tr,0,0
fh,19'04''238,19'04''641,br,0,0
fh,19'04''641,19'05''279,tr,0,0
