name,start,end,position,first,score
bl,02'31''955,02'32''691,br,1,0
bh,02'32''691,02'33''199,tl,0,0
bh,02'33''199,02'33''480,bl,0,0
fh,02'33''480,02'34''000,tl,0,0
bh,02'34''000,02'34''478,bl,0,0
bh,02'34''478,02'35''080,tr,0,0
bh,02'35''080,02'35''440,bl,0,1
bl,02'35''440,02'36''078,tr,0,0
bl,02'50''985,02'51''639,bl,1,0
fh,02'51''639,02'52''118,tr,0,0
bh,02'52''118,02'52''478,bl,0,0
bl,02'52''478,02'52''999,tl,0,0
fh,02'52''999,02'53''880,bl,0,0
bl,02'53''880,02'54''438,tr,0,0
fh,02'54''438,02'54''880,br,0,1
bl,03'10''973,03'11''623,br,1,0
fh,03'11''623,03'12''159,tl,0,0
fh,03'12''159,03'12''679,br,0,0
bh,03'12''679,03'13''520,tr,0,0
fl,03'13''520,03'14''199,br,0,0
fh,03'14''199,03'15''535,tr,0,0
bl,03'15''535,03'16''069,bl,0,0
fh,03'16''069,03'16''575,tl,0,0
fh,03'16''575,03'16''936,bl,0,0
fh,03'16''936,03'17''337,tl,0,0
fh,03'17''337,03'17''617,bl,0,1
fl,03'17''617,03'18''935,tl,0,0
bl,03'44''145,03'45''256,bl,1,0
fh,03'45''256,03'45''735,tr,0,0
fh,03'45''735,03'46''256,bl,0,0
fh,03'46''256,03'46''655,tl,0,1
bl,04'00''016,04'01''416,tr,1,0
fh,04'01''416,04'02''376,br,0,0
fh,04'02''376,04'03''056,tr,0,0
fh,04'03''056,04'03''495,br,0,0
bh,04'03''495,04'04''056,tr,0,1
bl,04'04''056,04'04''416,bl,0,0
bl,04'20''656,04'21''457,tl,1,0
bh,04'21''457,04'21''895,br,0,1
bl,04'21''895,04'22''786,tr,0,0
bl,04'38''367,04'39''151,br,1,0
fh,04'39''151,04'39''616,tl,0,0
fh,04'39''616,04'40''136,br,0,0
bl,04'40''136,04'40''976,tr,0,0
fh,04'40''976,04'42''416,br,0,0
bl,04'42''416,04'42''976,tr,0,0
fh,04'42''976,04'43''417,br,0,1
bl,04'43''417,04'43''975,tr,0,0
bl,05'00''630,05'01''884,bl,1,0
fh,05'01''884,05'02''297,tr,0,0
fh,05'02''297,05'02''935,br,0,0
bh,05'02''935,05'03''735,tr,0,0
bh,05'03''735,05'04''295,br,0,0
bl,05'04''295,05'05''193,tr,0,0
fh,05'05''193,05'06''217,br,0,1
bl,05'06''217,05'06''776,tr,0,0
bl,05'24''916,05'25''711,br,1,1
fh,05'25''711,05'26''243,tl,0,0
bl,05'43''514,05'44''256,bl,1,0
bl,05'59''167,06'00''295,tr,1,0
fh,06'00''295,06'00''695,bl,0,0
fh,06'00''695,06'01''255,tl,0,0
fh,06'01''255,06'02''055,br,0,0
bh,06'02''055,06'02''695,tr,0,1
