name,start,end,position,first,score
bl,0:07'45''059,0:07'46''159,tl,1,0
fh,0:07'46''159,0:07'46''678,br,0,0
bl,0:07'46''678,0:07'47''439,tr,0,0
fh,0:07'47''439,0:07'48''718,bl,0,0
bh,0:07'48''718,0:07'49''439,tl,0,0
fh,0:07'49''439,0:07'49''639,br,0,0
fh,0:07'49''639,0:07'50''519,tr,0,0
fh,0:07'50''519,0:07'50''719,br,0,0
fh,0:07'50''719,0:07'51''080,tl,0,0
bl,0:08'17''514,0:08'18''519,bl,1,0
fh,0:08'18''519,0:08'18''873,tr,0,0
fl,0:08'18''873,0:08'19''558,br,0,0
fh,0:08'19''558,0:08'20''729,tl,0,0
bh,0:08'20''729,0:08'21''279,br,0,0
fh,0:08'21''279,0:08'21''759,tr,0,0
fl,0:08'21''759,0:08'22''198,bl,0,0
bl,0:08'38''563,0:08'39''799,tl,1,0
fh,0:08'39''799,0:08'40''031,bl,0,0
bl,0:08'40''031,0:08'40''839,tl,0,0
fh,0:08'40''839,0:08'41''358,br,0,0
bh,0:08'41''358,0:08'42''238,tl,0,0
fh,0:08'42''238,0:08'43''838,bl,0,0
bh,0:08'43''838,0:08'44''559,tl,0,0
fh,0:08'44''559,0:08'44''878,bl,0,0
bh,0:08'44''878,0:08'45''398,tr,0,0
fh,0:08'45''398,0:08'45''758,br,0,0
fh,0:08'45''758,0:08'46''519,tr,0,0
bh,0:08'46''519,0:08'46''760,bl,0,0
bl,0:09'09''241,0:09'10''273,tr,1,0
bh,0:09'10''273,0:09'10''475,br,0,0
bh,0:09'10''475,0:09'11''119,tr,0,0
fh,0:09'11''119,0:09'12''319,bl,0,0
bh,0:09'12''319,0:09'13''604,tr,0,0
bl,0:09'25''739,0:09'26''729,br,1,0
fh,0:09'26''729,0:09'27''238,tl,0,0
bh,0:09'27''238,0:09'27''680,bl,0,0
fh,0:09'27''680,0:09'28''319,tr,0,0
fh,0:09'28''319,0:09'28''476,bl,0,0
fh,0:09'28''476,0:09'28''796,tr,0,0
bl,0:09'28''796,0:09'29''274,bl,0,0
bl,0:09'41''559,0:09'42''749,bl,1,0
dh,0:09'42''749,0:09'42''810,tr,0,0
fh,0:09'42''810,0:09'43''230,br,0,0
bh,0:09'43''230,0:09'43''878,tr,0,0
fl,0:09'43''878,0:09'44''518,br,0,0
fh,0:09'44''518,0:09'45''280,tr,0,0
fh,0:09'45''280,0:09'45''879,br,0,0
fh,0:09'45''879,0:09'46''358,tr,0,0
fh,0:09'46''358,0:09'46''820,br,0,0
bh,0:09'46''820,0:09'47''639,tl,0,0
fh,0:09'47''639,0:09'48''919,bl,0,0
fh,0:09'48''919,0:09'49''638,tr,0,0
bl,0:09'49''638,0:09'50''798,br,0,0
fh,0:09'50''798,0:09'51''399,tr,0,0
bl,0:10'15''639,0:10'16''599,br,1,0
bh,0:10'16''599,0:10'17''064,tl,0,0
bh,0:10'17''064,0:10'17''278,bl,0,0
fh,0:10'17''278,0:10'17''999,tr,0,0
fh,0:10'17''999,0:10'18''318,br,0,0
fh,0:10'18''318,0:10'19''159,tr,0,0
bh,0:10'19''159,0:10'19''559,bl,0,0
fh,0:10'19''559,0:10'19''879,tl,0,0
bh,0:10'19''879,0:10'20''399,bl,0,0
bh,0:10'20''399,0:10'21''159,tr,0,0
bl,0:10'21''159,0:10'22''079,bl,0,0
bl,0:10'44''638,0:10'45''208,tr,1,0
fh,0:10'45''208,0:10'46''189,bl,0,0
fh,0:10'46''189,0:10'46''758,tl,0,0
bh,0:10'46''758,0:10'47''319,bl,0,0
fh,0:10'47''319,0:10'47''637,tl,0,0
bh,0:10'47''637,0:10'48''119,bl,0,0
bl,0:10'48''119,0:10'49''031,tr,0,0
fh,0:10'49''031,0:10'50''599,bl,0,0
bl,0:10'50''599,0:10'51''277,tl,0,0
bh,0:10'51''277,0:10'51''874,bl,0,0
bh,0:10'51''874,0:10'52''919,tr,0,0
fh,0:10'52''919,0:10'54''638,bl,0,0
bl,0:10'54''638,0:10'55''919,tr,0,0
fl,0:10'55''919,0:10'56''390,br,0,0
bh,0:10'56''390,0:10'57''319,tr,0,0
fh,0:10'57''319,0:10'58''625,bl,0,0
bh,0:10'58''625,0:10'59''118,tl,0,0
bh,0:10'59''118,0:10'59''995,bl,0,0
bh,0:10'59''995,0:11'00''637,tr,0,0
bh,0:11'00''637,0:11'01''038,bl,0,0
fh,0:11'01''038,0:11'01''478,tr,0,0
bh,0:11'01''478,0:11'01''920,bl,0,0
bh,0:11'01''920,0:11'02''632,tr,0,0
bh,0:11'02''632,0:11'03''160,bl,0,0
bh,0:11'03''160,0:11'04''032,tr,0,0
fh,0:11'04''032,0:11'05''708,br,0,0
bh,0:11'05''708,0:11'06''358,tl,0,0
