name,start,end,position,first,score
bl,02'25''231,02'26''398,br,1,0
fl,02'26''398,02'26''795,tl,0,0
bl,02'26''795,02'27''318,br,0,0
bh,02'27''318,02'28''559,tl,0,0
fh,02'28''559,02'29''837,bl,0,0
bl,02'29''837,02'30''438,tr,0,0
fh,02'30''438,02'30''801,br,0,1
bh,02'30''801,02'31''238,tr,0,0
,,,,,
bl,02'47''159,02'48''272,bl,1,0
bh,02'48''272,02'48''558,tr,0,0
fl,02'48''558,02'49''398,br,0,0
fh,02'49''398,02'50''758,tl,0,1
bh,02'50''758,02'51''238,br,0,0
,,,,,
bl,03'06''035,03'07''053,tr,1,0
fh,03'07''053,03'07''438,bl,0,0
bh,03'07''438,03'07''918,tl,0,0
bh,03'07''918,03'08''112,bl,0,0
bl,03'08''112,03'08''870,tl,0,0
fh,03'08''870,03'09''627,bl,0,0
bl,03'09''627,03'10''158,tl,0,0
bl,03'10''158,03'11''038,bl,0,0
bl,03'11''038,03'11''879,tl,0,0
fh,03'11''879,03'13''638,bl,0,0
bl,03'13''638,03'14''280,tl,0,1
,,,,,
bl,03'28''174,03'29''349,tl,1,0
bl,03'29''349,03'29''758,br,0,0
bh,03'29''758,03'30''237,tl,0,0
bl,03'30''237,03'30''741,bl,0,0
bh,03'30''741,03'31''358,tl,0,0
bl,03'31''358,03'32''038,bl,0,0
fh,03'32''038,03'33''398,tr,0,0
fl,03'33''398,03'34''118,br,0,0
fh,03'34''118,03'34''636,tl,0,1
fl,03'34''636,03'35''158,br,0,0
,,,,,
bl,03'50''138,03'51''358,tr,1,0
fh,03'51''358,03'51''879,bl,0,0
bh,03'51''879,03'52''238,tr,0,0
fl,03'52''238,03'53''038,br,0,0
fh,03'53''038,03'53''762,tr,0,0
bl,03'53''762,03'54''199,br,0,0
fh,03'54''199,03'55''158,tr,0,0
bl,03'55''158,03'55''758,bl,0,0
bh,03'55''758,03'56''598,tl,0,0
bl,03'56''598,03'57''518,bl,0,0
fh,03'57''518,03'58''638,tr,0,1
bl,03'58''638,03'59''080,br,0,0
,,,,,
bl,04'29''163,04'30''351,tl,1,0
fh,04'30''351,04'30''918,br,0,0
bl,04'30''918,04'31''478,tl,0,0
fh,04'31''478,04'32''756,br,0,0
fh,04'32''756,04'33''198,tl,0,0
fh,04'33''198,04'33''956,br,0,1
fh,04'33''956,04'34''519,tr,0,0
,,,,,
bl,04'46''573,04'47''601,bl,1,0
fl,04'47''601,04'48''038,tl,0,0
bh,04'48''038,04'48''398,bl,0,0
bh,04'48''398,04'48''882,tl,0,0
fl,04'48''882,04'49''435,br,0,0
fh,04'49''435,04'50''598,tr,0,0
fl,04'50''598,04'51''358,br,0,0
fh,04'51''358,04'52''718,tr,0,0
