name,start,end,position,score
serve,00'02",00'03",br,0
dig,00'03",00'04",bl,0
dig,00'04",00'05",tl,0
spike,00'06",00'07",bl,1
block,00'06",00'07",br,0
dig,00'28",00'29",tr,0
pass,00'30",00'31",br,0
spike,00'31",00'32",tr,0
block,00'31",00'32",tl,0
dig,00'32",00'33",bl,0
dig,00'33",00'34",tl,0
spike,00'34",00'35",bl,0
dig,00'35",00'36",br,0
pass,00'36",00'37",tr,0
spike,00'38",00'39",br,0
block,00'38",00'39",bl,0
dig,00'39",00'40",tl,0
spike,00'41",00'42",tr,1
block,00'41",00'42",bl,0
serve,01'02",01'03",br,0
dig,01'03",01'04",tl,0
dig,01'04",01'05",bl,0
spike,01'06",01'07",tl,1
block,01'06",01'07",tr,0
serve,01'29",01'30",bl,0
dig,01'30",01'31",tr,0
dig,01'32",01'33",tr,0
serve,01'58",01'59",bl,0
dig,01'58",01'59",tr,0
dig,02'00",02'01",br,0
dig,02'02",02'03",tr,0
spike,02'04",02'05",bl,1
block,02'04",02'05",br,0
serve,02'25",02'26",bl,0
dig,02'26",02'27",tr,0
dig,02'28",02'29",br,0
spike,02'30",02'31",tr,0
serve,03'11",03'12",tl,0
dig,03'47",03'48",tr,0
dig,03'50",03'51",br,0
dig,03'52",03'53",tr,0
dig,03'53",03'54",tl,0
pass,03'55",03'56",bl,0
spike,03'56",03'57",tl,1
block,03'56",03'57",tr,0
serve,04'27",04'28",bl,0
dig,04'28",04'29",tr,0
dig,04'29",04'30",br,0
spike,04'31",04'32",tr,0
block,04'31",04'32",tl,0
dig,04'32",04'33",bl,0
spike,04'33",04'34",tl,0
block,04'33",04'34",br,1
serve,04'53",04'54",tr,0
dig,04'54",04'55",bl,0
dig,04'55",04'56",tl,0
spike,04'57",04'58",bl,1
serve,05'17",05'18",bl,1
dig,05'18",05'19",tr,0
serve,05'37",05'38",bl,0
dig,05'39",05'40",br,0
dig,05'40",05'41",tr,0
spike,05'42",05'43",br,1
block,05'42",05'43",bl,0
serve,06'07",06'08",tr,0
dig,06'08",06'09",tl,0
pass,06'09",06'10",bl,0
spike,06'10",06'11",tl,0
block,06'10",06'11",tr,0
serve,07'30",07'31",tr,1
dig,07'31",07'32",bl,0
serve,08'15",08'16",tl,0
dig,08'16",08'17",tr,0
dig,08'18",08'19",br,0
spike,08'20",08'21",tr,1
block,08'20",08'21",tl,0
serve,08'38",08'39",tr,0
dig,08'39",08'40",tl,0
dig,08'41",08'42",bl,0
spike,08'42",08'43",tl,1
block,08'42",08'43",tr,0
serve,09'41",09'42",bl,0
dig,09'42",09'43",tr,0
pass,09'44",09'45",br,0
spike,09'46",09'47",tr,0
block,09'46",09'47",tl,1
serve,10'02",10'03",bl,0
dig,10'04",10'05",tr,0
spike,10'06",10'07",br,0
serve,11'25",11'26",bl,0
dig,11'26",11'27",tr,0
dig,11'28",11'29",br,0
block,11'30",11'31",tr,0
spike,11'30",11'31",tl,1
serve,11'52",11'53",bl,0
dig,11'53",11'54",tr,0
dig,11'55",11'56",br,0
spike,11'56",11'57",tr,1
serve,12'15",12'16",br,0
dig,12'16",12'17",bl,0
dig,12'18",12'19",tl,0
spike,12'19",12'20",bl,0
block,12'19",12'20",br,0
dig,12'20",12'21",br,0
dig,12'21",12'22",tr,0
spike,12'23",12'24",br,0
dig,12'24",12'25",tl,0
dig,12'26",12'27",bl,0
spike,12'27",12'28",tl,0
block,12'27",12'28",tr,0
pass,12'28",12'29",br,0
dig,12'29",12'30",tr,0
spike,12'31",12'32",br,0
block,12'31",12'32",bl,0
serve,13'56",13'57",tr,0
dig,13'57",13'58",tl,0
pass,13'59",14'00",bl,0
block,13'59",14'00",br,0
dig,14'00",14'01",bl,0
pass,14'01",14'02",tl,0
serve,14'25",14'26",tr,0
serve,15'16",15'17",bl,0
dig,15'17",15'18",tr,0
dig,15'18",15'19",br,0
spike,15'20",15'21",tr,0
serve,15'33",15'34",bl,0
dig,15'35",15'36",tr,0
dig,15'36",15'37",br,0
spike,15'37",15'38",tr,0
block,15'37",15'38",tl,0
dig,15'38",15'39",bl,0
dig,15'40",15'41",tl,0
spike,15'42",15'43",bl,0
dig,15'43",15'44",tr,0
dig,15'44",15'45",br,0
spike,15'46",15'47",tr,0
block,15'46",15'47",tl,0
dig,15'47",15'48",bl,0
dig,15'48",15'49",tl,0
spike,15'50",15'51",bl,0
block,15'50",15'51",tr,1
serve,16'23",16'24",tr,0
dig,16'25",16'26",bl,0
dig,16'26",16'27",tl,0
spike,16'28",16'29",bl,0
block,16'28",16'29",br,0
serve,16'45",16'46",tr,0
dig,16'47",16'48",bl,0
dig,16'48",16'49",tl,0
spike,16'49",16'50",bl,0
block,16'49",16'50",br,0
dig,16'51",16'52",tr,0
dig,16'52",16'53",br,0
spike,16'54",16'55",tr,1
block,16'54",16'55",tl,0
dig,17'17",17'18",bl,0
dig,17'18",17'19",tl,0
spike,17'20",17'21",bl,1
block,17'20",17'21",br,0
serve,17'54",17'55",tr,1
dig,17'56",17'57",tl,0
serve,18'12",18'13",tr,0
dig,18'13",18'14",bl,0
dig,18'15",18'16",tl,0
spike,18'16",18'17",bl,1
block,18'16",18'17",br,0
serve,18'39",18'40",bl,0
serve,18'55",18'56",tr,0
dig,18'56",18'57",bl,0
dig,18'57",18'58",tl,0
spike,18'59",19'00",bl,1
block,18'59",19'00",br,0
dig,19'00",19'01",tr,0
serve,19'21",19'22",bl,0
dig,19'22",19'23",tr,0
pass,19'24",19'25",tr,0
