name,start,end,position,score
serve,00'41",00'42",tr,0
dig,00'42",00'43",bl,0
pass,00'44,00'45",br,0
spike,00'45",00'46",bl,0
block,00'45",00'46",tl,0
dig,00'46",00'47",tr,0
dig,00'48",00'49",tl,0
spike,00'49",00'50",tr,0
block,00'49",00'50",br,0
serve,01'10",01'11",bl,0
dig,01'11",01'12",tl,0
dig,01'13",01'14",tl,0
spike,01'14",01'15",tr,0
block,01'14",01'15",br,0
dig,01'15",01'16",bl,0
spike,01'16",01'17",br,0
dig,01'17",01'18",tr,0
dig,01'19",01'20",tl,0
spike,01'20",01'21",tl,1
block,01'20",01'21",br,0
serve,01'41",01'43",tr,0
dig,01'44",01'45",tl,0
spike,01'45",01'46",br,1
block,01'45",01'46",tr,0
serve,02'04",02'05",bl,0
dig,02'06",02'07",tl,0
pass,02'08",02'09",tr,0
spike,02'09",02'10",tl,1
block,02'09",02'10",bl,0
serve,02'23",02'25",tr,0
serve,02'40",02'41",tl,0
dig,02'41",02'42",tr,0
dig,02'43",02'45",tl,0
spike,02'45",02'46",tr,1
block,02'45",02'46",br,0
serve,03'01",03'02",tl,1
serve,03'27",03'28",bl,0
dig,03'29",03'30",tr,0
dig,03'30",03'31",tl,0
spike,03'31",03'32",tr,0
dig,03'32",03'33",bl,0
dig,03'34",03'35",br,0
spike,03'35",03'36",bl,0
block,03'35",03'36",tl,1
serve,03'57",03'58",tr,0
dig,03'59",04'00",br,0
dig,04'00",04'01",bl,0
spike,04'01",04'02",br,1
block,04'01",04'02",tr,0
serve,04'18",04'19",br,0
dig,04'20",04'21",tr,0
dig,04'21",04'22",tl,0
spike,04'23",04'24",tr,0
block,04'23",04'24",br,1
serve,04'39",04'40",br,0
dig,04'40",04'41",tr,0
dig,04'42",04'43",tr,0
spike,04'44",04'45",tl,1
block,04'44",04'45",bl,0
serve,05'03",05'04",tl,0
dig,05'05",05'06",br,0
spike,05'06",05'07",bl,0
block,05'06",05'07",tr,0
dig,05'07",05'08",tl,0
dig,05'08",05'09",tr,0
spike,05'09",05'10",tl,0
block,05'09",05'10",bl,0
dig,05'11",05'12",br,1
serve,05'35",05'36",br,0
dig,05'37",05'38",tr,0
spike,05'38",05'39",tl,1
serve,05'56",05'57",tr,0
dig,05'58",05'59",br,0
spike,05'59",06'00",bl,1
block,05'59",06'00",tr,0
serve,06'24",06'25",tl,0
dig,06'26",06'27",bl,0
spike,06'27",06'28",br,1
block,06'27",06'28",tl,0
serve,08'34",08'35",br,0
dig,08'36",08'37",tl,0
dig,08'37",08'38",tr,0
spike,08'38",08'39",tl,1
block,08'38",08'39",bl,0
