name,start,end,position,score
serve,1'13",1'14",bl,0
dig,1'14",1'15",tr,0
pass,1'15",1'16",tl,0
spike,1'16",1'17",tr,0
block,1'17",1'18",br,0
serve,1'18",1'19",tr,0
dig,1'19",1'20",br,0
spike,1'20",1'21",bl,0
block,1'21",1'22",tl,1
serve,2'04",2'05",br,0
dig,2'05",2'06",tr,0
pass,2'06",2'07",tl,0
spike,2'07",2'08",tr,0
block,2'08",2'09",bl,0
serve,3'50",3'51",br,0
dig,3'51",3'52",tr,0
pass,3'52",3'53",tl,0
spike,3'53",3¡¯54",tr,0
block,3'54",3'55",br,0
serve,4'10",4'11",tl,0
dig,4'11",4'12",br,0
spike,4'12",4'13",bl,0
dig,4'13",4'14"",tl,0
dig,4'14",4'15",tr,0
spike,4'15",4'16",tl,0
dig,4'16",4'17",bl,0
spike,4'17",4'18",br,1
serve,4'42",4'43",bl,0
dig,4'43",4'44",tr,0
pass,4'44",4'45",tl,0
spike,4'45",4'46",tr,0
block,4'46",4'47",br,0
serve,5'10",5'11",tr,0
dig,5'11",5'12",bl,0
pass,5'12",5'13",br,0
spike,5'13",5'14",bl,0
block,5'14",5'15",tl,0
dig,5'15",5'16",tr,0
dig,5'16",5'17",tl,0
spike,5'17",5'18",tr,0
dig,5'18",5'19",bl,0
dig,5'19",5'20",br,0
spike,5'20",5'21",bl,0
serve,6'05",6'06"',tl,0
dig,6'06",6'07",bl,0
dig,6'07",6'08",br,0
spike,6'08",6'09",bl,0
block,6'09",6'10",tl,1
serve,6'53",6'54",bl,0
serve,7'09",7'10",tl,0
dig,7'10",7'11",bl,0
pass,7'11",7'12",br,0
spike,7'12",7'13",bl,0
block,7'13",7'14",tl,0
dig,7'14",7'15",tr,0
spike,7'15",7'16",tl,0
dig,7'16",7'17",br,0
pass,7'17",7'18",bl,0
spike,7'18",7'19",br,0
block,7'19",7'20",tr,0
serve,7'44",7'45",tl,1
dig,7'45",7'46",bl,0
pass,7'46",7'47",br,0
spike,7'47",7'48",bl,0
block,4'48",7'49",tl,1
serve,8'09",8'10",tr,0
dig,8'10",8'11",bl,0
dig,8'11",8'12",br,0
spike,8'12",8'13",bl,0
block,8'13",8'14",tl,0
serve,8'36",8'37",br,0
dig,8'37",8'38",tr,0
pass,8'38",8'39",tl,0
spike,8'39",8'40",tr,0
block,8'40",8'41",br,0
serve,9'04",9'05",tl,0
dig,9'05",9'06",tl,0
pass,9'06",9'07",tr,0
spike,9'07",9'08",tl,0
block,9'08",9'09",bl,0
serve,9'41",9'42",tl,0
dig,9'42",9'43",bl,0
pass,9'43",9'44",br,0
spike,9'44",9'45",bl,0
serve,10'01",10'02",bl,0
dig,10'02",10'03",tr,0
dig,10'03"',10'04",tl,0
spike,10'04",10'05",tr,0
block,10'05",10'06",br,0
dig,10'06",10'07",bl,0
pass,10'07",10'08",br,0
spike,10'08",10'09",bl,0
block,10'09",10'10",tl,0
serve,10'28",10'29",tl,0
dig,10'29",10'30",bl,0
spike,10'30",10'31",br,0
block,10'31",10'32¡¯,tr,0
serve,12'45",12'46",tl,1
dig,12'46",12'47",bl,0
pass,12'47",12'48",br,0
spike,12'48",12'49",bl,0
block,12'49",12'50",tl,0
dig,12'50",12'51",tr,0
dig,12'51",12'52",tl,0
dig,12'52",12'53",br,0
pass,12'53",12'54",bl,0
spike,12'54",12'55",br,0
serve,13'15",13'16",bl,0
dig,1316",13'17",tl,0
spike,13'17",13'18",tr,0
dig,13'18",13'19",bl,0
dig,13'19",13'20",br,0
spike,13'20",13'21",bl,0
block,13'21",13'22",tl,0
dig,13'21",13'23",br,0
pass,13'22",13'24",bl,0
spike,13'23",13'25",br,0
block,13'24",13'26",tl,0
serve,13'55",13'56",tl,0
dig,13'56",13'57",bl,0
pass,13'57",13'58",br,0
spike,13'58",13'59",bl,0
dig,13'59",14'00",tr,0
serve,14'17",14'18",bl,0
dig,14'18",14'19",tr,0
serve,14'39",14'40",bl,0
dig,14'40",14'41",tr,0
pass,14'41",14'42",tl,0
spike,14'42",14'43",tr,0
block,14'43",14'44",br,0
serve,15'10",15'11",bl,0
dig,15'11",15'12",tr,0
pass,15'12",15'13",tl,0
spike,15'13",15'14",tr,0
block,15'14",15'15",bl,0
serve,15'37",15'38",tr,0
serve,15'54",15'55",br,0
dig,15'55",15'56",tr,0
pass,15'56",15'57",tl,0
spike,15'57",15'58",tr,0
block,15'58",15'59",bl,0
serve,16'18",15'60",tl,0
serve,16'34",16'35",bl,0
dig,16'35",16'36",tr,0
pass,16'36",16'37",tl,0
spike,16'37",16'38",tr,0
dig,16'38",16'39",bl,0
dig,16'39",16'40",br,0
dig,16'40",16'41",tl,0
pass,16'41",16'42",tr,0
spike,16'42",16'43",tl,0
block,16'43",16'44",bl,0
serve,17'17",17'18",bl,0
dig,17'18",17'19",tr,0
pass,17'19",17'20",tl,0
spike,17'20",17'21",tr,0
block,17'21",17'22",br,0
dig,17'22",17'23",br,0
pass,17'23",17'24",bl,0
spike,17'24",17'25",br,0
block,17'25",17'26",tr,1
serve,19'14",19'15",bl,0
dig,19'15",19'16",tr,0
pass,19'16",19'17",tl,0
spike,19'17",19'18",tr,0
block,19'18",19'19",br,0
serve,19'38",19'39",tl,0
dig,19'39",19'40",bl,0
pass,19'40",19'41",br,0
spike,19'41",19'42",bl,0
block,19'42",19'43",tl,0
dig,19'43",19'44",tr,0
dig,19'44",19'45",tl,0
spike,19'45",19'46",tr,0
block,19'46",19'47",br,0
serve,20'09",20'10",bl,0
serve,20'27",20'28",bl,0
dig,20'28",20'29",tr,0
spike,20'29",20'30",tl,0
block,20'30",20'31",br,1
serve,20'57",20'58",tl,0
dig,20'58",20'59",bl,0
pass,20'59",21'00",br,0
spike,20'60",21'01",bl,0
block,20'61",21'02",tl,0
serve,21'22",21'23",bl,0
dig,21'23",21'24",tr,0
pass,21'24",21'25",tl,0
spike,21'25",21'26",tr,0
block,21'26",21'27",br,1
serve,21'45",21'46",tr,0
dig,21'46",21'47",br,0
dig,21'47",21'48",bl,0
spike,21'48",21'49",br,0
block,21'49",21'50",tl,0
serve,22'11",22'12",tr,0
dig,22'12",22'13",bl,0
pass,22'13",22'14",br,0
spike,22'14",22'15",bl,0
block,22'15",22'16",tl,0
serve,22'36",22'37",br,0
dig,22'37",23'38",tl,0
pass,22'38",23'39",tr,0
spike,22'39",23'40",tl,0
block,22'40",23'41",bl,0
dig,22'41",23'42",bl,0
spike,22'42",23'44",br,0
dig,22'43",23'45",tl,0
dig,22'44",23'46",tr,0
spike,22'45",23'47",tl,0
dig,22'46",23'48",bl,0
pass,22'47",23'49",br,0
spike,22'48",23'50",bl,0
block,22'49",23'51",tl,0
dig,22'50",23'52",tl,0
dig,22'51",23'53",tr,0
spike,22'52",23'54",tl,0
dig,22'53",23'55",br,0
dig,22'54",23'56",bl,0
spike,22'55",23'57",br,0
block,22'56",23'58",tr,1
serve,24'51",24'52",tl,0
dig,24'52",24'53",bl,0
pass,24'53",24'54",br,0
spike,24'54",24'55",bl,0
block,24'55",24'56",tl,1
serve,25'19",25'20",tl,0
dig,25'20",25'21",bl,0
pass,25'21",25'22",br,0
spike,25'22",25'23",bl,0
block,25'23",25'24",br,0
dig,25'24",25'25",bl,0
dig,25'25",25'26",br,0
spike,25'26",25'27",tr,0
dig,25'27",25'28",tl,0
dig,25'28",25'29",tr,0
spike,25'29",25'30",tl,0
block,25'30",25'31",br,1
serve,26'02",26'03",tl,0
serve,26'22",26'23",bl,0
dig,26'23",26'24",tr,0
spike,26'24",26'25",tl,0
block,26'25",26'26",br,0
serve,26'42",26'43",tr,0
dig,26'43",26'44",bl,0
pass,26'44",26'45",br,0
spike,26'45",26'46",bl,0
serve,27'16",27'17",bl,0
dig,27'17",27'18",tr,0
pass,27'18",27'19",tl,0
spike,27'19",27'20",tr,0
