name,start,end,position,score
serve,0'52",0'53",tl,0
dig,0'53",0'54",br,0
pass,0'54",0'55",bl,0
spike,0'55",0'56",br,0
block,0'56",0'57",tr,0
dig,0'57",0'58",tl,0
dig,0'58",0'59",tr,0
dig,0'59",1'00",bl,0
pass,1'00",1'01",br,0
spike,1'01",1'02",bl,0
serve,1'23",1'24",br,0
dig,1'24",1'25",t,0
pass,1'25",1'26",tr,0
spike,1'26",1'27",tl,0
block,1'27",1'28",bl,0
serve,1'47",1'48",tr,0
dig,1'48",1'49",br,0
dig,1'49",1'50",bl,0
spike,1'50",1'51",br,0
block,1'51",1'52",tr,0
serve,2'06",2'07",br,0
dig,2'07",2'08",tr,0
pass,2'08",2'09",tl,0
spike,2'09",2'10",tr,0
block,2'10",2'11",br,1
serve,2'28",2'29",br,0
dig,2'29",2'30",tr,0
spike,2'30",2'31",tl,0
block,2'31",2'32",br,0
dig,2'32",2'33",tl,0
pass,2'33",2'34",tr,0
spike,2'34",2'35",tl,0
block,2'35",2'36",bl,0
dig,2'36",2'37",tr,0
spike,2'37",2'38",tl,0
block,2'38",2'39",bl,1
serve,3'00",3'01",br,0
dig,3'01",3'02",tr,0
pass,3'02",3'03",tl,0
spike,3'03",3'04",tr,0
block,3'04",3'05",br,0
serve,3'30",3'31",tl,0
dig,3'31",3'32",br,0
dig,3'32",3'33",bl,0
spike,3'33",3'34",br,0
block,3'34",3'35",tr,0
serve,4'04",4'05",tl,0
dig,4'05",4'06",bl,0
pass,4'06",4'07",br,0
spike,4'07",4'08",bl,0
block,4'08",4'09",tl,0
serve,4'30",4'31",bl,0
dig,4'31",4'32",tl,0
pass,4'32",4'33",tr,0
spike,4'33",4'34",tl,0
block,4'34",4'35",bl,0
dig,4'35",4'36",bl,0
spike,4'36",4'37",br,1
serve,5'00",5'01",bl,0
dig,5'01",5'02",tl,0
dig,5'02",5'03",tr,0
spike,5'03",5'04",tl,0
block,5'04",5'05",bl,1
serve,6'35",6'36",bl,0
dig,6'36",6'37",tl,0
pass,6'37",6'38",tr,0
spike,6'38",6'39",tl,0
block,6'39",6'40",bl,0
serve,6'55",6'56",tr,0
dig,6'56",6'57",br,0
spike,6'57",6'58",bl,0
block,6'58",6'59",tr,0
dig,6'59",7'00",tl,0
pass,7'00",7'01",bl,0
spike,7'01",7'02",br,0
block,7'02",7'03",tl,0
dig,7'03",7'04",bl,0
spike,7'04",7'05",br,0
serve,7'30",7'31",br,0
dig,7'31",7'32",tl,0
pass,7'32",7'33",tr,0
spike,7'33",7'34",tl,0
block,7'34",7'35",bl,0
dig,7'35",7'36",br,0
dig,7'36",7'37",bl,0
spike,7'37",7'38",br,0
serve,8'02",8'03",tr,0
dig,8'03",8'04",bl,0
pass,8'04",8'05",br,0
spike,8'05",8'06",bl,0
block,8'06",8'07",tl,0
serve,8'42",8'43",tr,0
dig,8'43",8'44",br,0
pass,8'44",8'45",bl,0
spike,8'45",8'46",br,0
block,8'46",8'47",tr,0
serve,9'03",9'04",br,0
dig,9'04",9'05",tr,0
pass,9'05",9'06",tl,0
spike,9'06",9'07",tr,0
block,9'07",9'08",br,0
serve,9'32",9'33",tl,0
dig,9'33",9'34",bl,0
pass,9'34",9'35",br,0
spike,9'35",9'36",bl,0
block,9'36",9'37",tl,0
serve,9'56",9'57",bl,0
dig,9'57",9'58",tl,0
pass,9'58",9'59",tr,0
spike,9'59",10'00",tl,0
block,10'00",10'01",bl,0
serve,10'24",10'25",tl,0
dig,10'25",10'26",br,0
block,10'26",10'27",tr,1
serve,10'50",10'51",tr,1
serve,11'15",11'16",tr,0
dig,11'16",11'17",br,0
pass,11'17",11'18",bl,0
spike,11'18",11'19",br,0
block,11'19",11'20",tr,0
serve,13'07",13'08",bl,0
dig,13'08",13'09",tr,0
spike,13'09",13'10",tl,0
block,13'10",13'11",bl,0
dig,13'11",13'12",tl,0
pass,13'12",13'13",tr,0
spike,13'13",13'14",tl,0
block,13'14",13'15",br,0
serve,13'35",13'36",tr,0
dig,13'36",13'37",br,0
pass,13'37",13'38",bl,0
spike,13'38",13'39",br,0
block,13'39",13'40",tl,0
serve,14'00",14'01",br,0
dig,14'01",14'02",tl,0
pass,14'02",14'03",tr,0
spike,14'03",14'04",tl,0
block,14'04",14'05",bl,0
