name,start,end,position,score
serve,09'02",09'03",bl,0
dig,09'03",09'04",tr,0
dig,09'05",09'06",br,0
spike,09'06",09'07",tr,1
block,09'06",09'07",tl,0
serve,09'27",09'28",tr,0
dig,09'28",09'29",bl,0
pass,09'31",09'32",tl,0
spike,09'32",09'33",bl,1
block,09'32",09'33",br,0
serve,09'51",09'52",bl,0
dig,09'52",09'53",tr,0
dig,09'53",09'54",br,0
spike,09'54",09'55",tr,0
block,09'54",09'55",tl,0
dig,09'55",09'56",bl,0
spike,09'56",09'57",tl,0
dig,09'57",09'58",br,0
dig,09'59",10'00",tr,0
spike,10'01",10'02",br,1
block,10'01",10'02",tl,0
serve,10'20",10'21",tr,0
dig,10'21",10'22",bl,0
spike,10'23",10'24",tl,1
serve,10'42",10'43",tl,0
dig,10'43",10'44",tr,0
dig,10'44",10'45",br,0
spike,10'46",10'47",tr,1
block,10'46",10'47",tl,0
serve,11'10",11'11",tr,1
dig,11'12",11'13",bl,0
serve,11'33",11'33",br,1
serve,12'18",12'19",tl,0
dig,12'20",12'21",br,0
pass,12'21",12'22",tr,0
spike,12'23",12'24",br,0
block,12'23",12'24",bl,0
dig,12'23",12'24",tl,0
dig,12'25",12'26",br,0
pass,12'26",12'27",tr,0
spike,12'27",12'28",br,0
block,12'27",12'28",bl,1
serve,13'45",13'46",bl,0
dig,13'46",13'47",tr,0
pass,13'48",13'49",br,0
spike,13'49",13'50",tr,0
block,13'49",13'50",tl,0
dig,13'50",13'51",tr,0
dig,13'51",13'52",br,0
spike,13'52",13'53",tl,1
serve,14'16",14'17",bl,0
dig,14'17",14'18",br,0
dig,14'18",14'19",tr,0
spike,14'19",14'20",br,1
serve,14'39",14'40",br,0
dig,14'40",14'41",bl,0
dig,14'42",14'43",tl,0
spike,14'44",14'45",bl,0
block,14'44",14'45",br,0
serve,15'36",15'37",br,0
dig,15'37",15'38",tl,0
spike,15'38",15'39",bl,0
dig,15'39",15'40",tr,0
dig,15'39",15'40",br,0
spike,15'41",15'42",tr,0
dig,15'42",15'43",bl,0
dig,15'44",15'45",tl,0
spike,15'45",15'46",bl,1
dig,15'46",15'47",tr,0
serve,16'09",16'10",bl,0
dig,16'11",16'12",tr,0
pass,16'12",16'13",tr,0
spike,16'14",16'15",br,0
block,16'14",16'15",bl,0
dig,16'15",16'16",bl,0
spike,16'16",16'17",tl,0
block,16'16",16'17",br,0
dig,16'17",16'18",tr,0
dig,16'18",16'19",br,0
spike,16'20",16'21",tr,1
block,16'20",16'21",tl,0
serve,16'52",16'53",br,0
dig,16'53",16'54",tl,0
spike,16'55",16'56",bl,1
block,16'55",16'56",br,0
serve,17'44",17'45",br,0
dig,17'45",17'46",tl,0
pass,17'46",17'47",tl,0
spike,17'47",17'48",bl,1
block,17'47",17'48",br,0
serve,18'12",18'13",tl,0
serve,18'31",18'32",tr,0
dig,18'32",18'33",bl,0
dig,18'34",18'35",tl,0
spike,18'35",18'36",bl,0
dig,18'36",18'37",br,0
dig,18'38",18'39",tr,0
spike,18'39",18'40",br,1
block,18'39",18'40",tl,0
serve,19'08",19'09",tr,0
dig,19'09",19'10",bl,0
dig,19'10",19'11",tl,0
spike,19'12",19'13",bl,0
dig,19'14",19'15",tr,0
spike,19'15",19'16",br,1
dig,19'15",19'16",tl,0
serve,19'39",19'40",tr,0
dig,19'40",19'41",bl,0
pass,19'41",19'42",tl,0
spike,19'42",19'43",bl,1
block,19'42",19'43",br,0
serve,20'12",20'13",tl,0
dig,20'13",20'14",br,0
dig,20'14",20'15",tr,0
spike,20'16",20'17",br,0
block,20'16",20'17",bl,0
spike,20'17",20'18",bl,0
serve,20'45",20'46",br,0
dig,20'46",20'47",bl,1
spike,20'47",20'48",tl,0
block,20'47",20'48",tr,0
serve,22'14",22'15",br,0
dig,22'15",22'16",tl,0
dig,22'17",22'18",bl,0
spike,22'18",22'19",tl,1
block,22'18",22'19",br,0
serve,22'44",22'45",bl,0
dig,22'45",22'46",tr,0
spike,22'47",22'48",br,0
serve,23'06",23'07",bl,1
dig,23'07",23'08",tr,0
serve,23'29",23'30",bl,0
serve,23'48",23'49",tr,0
dig,23'50",23'51",tl,0
dig,23'51",23'52",tl,0
spike,23'52",23'53",bl,1
block,23'52",23'53",br,0
serve,24'19",24'20",bl,0
serve,24'38",24'39",br,0
serve,25'19",25'20",tr,0
dig,25'20",25'21",bl,0
spike,25'22",25'23",tl,1
block,25'22",25'23",br,0
serve,25'44",25'45",bl,0
dig,25'45",25'46",br,0
dig,25'46",25'47",tr,0
spike,25'48",25'49",br,1
block,25'48",25'49",bl,0
serve,26'09",26'10",bl,0
dig,26'10",26'11",tr,0
dig,26'11",26'12",br,0
spike,26'12",26'13",tr,0
block,26'12",26'13",tl,0
dig,26'14",26'15",bl,0
dig,26'15",26'16",tl,0
spike,26'17",26'18",bl,1
block,26'17",26'18",br,0
serve,27'00",27'01",tr,0
dig,27'01",27'02",bl,0
pass,27'02",27'03",tl,0
spike,27'04",27'05",tl,1
block,27'04",27'05",tr,0
serve,27'28",27'29",tl,0
dig,27'29",27'30",br,0
dig,27'30",27'31",tr,0
spike,27'31",27'32",br,1
block,27'31",27'32",bl,0
serve,27'55",27'56",tr,0
dig,27'56",27'57",bl,0
pass,27'58",27'59",tl,0
spike,27'59",28'00",bl,1
block,27'59",28'00",br,0
serve,28'44",28'45",tr,0
