name,start,end,position,score
serve,00'07",00'08",bl,0
dig,00'08",00'09",tr,0
pass,00'09",00'10",tl,0
spike,00'10",00'11",tr,1
block,00'10",00'11",br,0
serve,00'31",00'33",tr,0
dig,00'33",00'34",bl,0
pass,00'34",00'35",br,0
spike,00'35",00'36",bl,0
block,00'35",00'36",tl,1
serve,00'55",00'56",tr,0
dig,00'57",00'58",br,0
dig,00'59",01'00",bl,0
spike,01'00",01'01",br,1
block,01'00",01'01",tr,0
serve,01'21",01'22",br,0
dig,01'23",01'24",tr,0
dig,01'24",01'25",tr,0
spike,01'25",01'26",tl,1
block,01'25",01'26",br,0
serve,01'46,01'47",bl,0
dig,01'48",01'49",tl,0
pass,01'50",01'51",tr,0
spike,01'51",01'52",bl,0
block,01'51",01'52",tl,1
serve,02'11",02'12",tl,0
dig,02'12",02'13",bl,0
pass,02'14",02'15",br,0
spike,02'15",02'16",bl,1
block,02'15",02'16",tl,0
serve,02'34",02'35",bl,0
dig,02'36",02'37",tr,0
pass,02'37",02'38",tl,0
spike,02'38",02'39",tr,0
block,02'38",02'39",br,0
dig,02'39",02'40",bl,0
pass,02'40",02'41",br,0
spike,02'41",02'42",bl,0
block,02'41",02'42",tl,0
serve,03'10",03'12",bl,0
serve,03'28",03'29",tl,0
dig,03'30",03'31",br,0
pass,03'32",03'33",bl,0
spike,03'33",03'34",br,0
block,03'33",03'34",tr,0
pass,03'35",03'36",tl,0
dig,03'36",03'37",tr,0
dig,03'37",03'38",tl,0
dig,03'38",03'39",br,0
spike,03'40",03'41",bl,0
block,03'40",03'41",tl,0
dig,03'41",03'42",tr,0
pass,03'42",03'43",tl,0
dig,03'43",03'44",br,0
dig,03'44",03'45",bl,0
spike,03'45",03'46",br,0
serve,04'13",04'14",tl,0
dig,04'14",04'15",br,0
dig,04'17",04'18",br,0
spike,04'18",04'19",bl,0
block,04'18",04'19",tr,0
dig,04'19",04'20",bl,0
pass,04'20",04'21",br,0
dig,04'21",04'22",tr,0
pass,04'22",04'23",tl,0
spike,04'23",04'24",tr,0
block,04'23",04'24",br,1
dig,04'24",04'25",tl,0
serve,04'51",04'52",br,0
dig,04'52",04'53",tr,0
pass,04'53",04'54",tl,0
spike,04'54",04'55",tr,1
block,04'54",04'55",br,0
serve,05'18",05'19",tl,0
dig,05'19",05'20",bl,0
pass,05'20",05'21",br,0
spike,05'22",05'23",bl,0
block,05'22",05'23",tr,0
serve,05'41",05'42",tr,0
dig,05'42",05'43",bl,0
pass,05'44",05'45",br,0
spike,05'46",05'47",bl,0
block,05'46",05'47",tl,0
dig,05'47",05'48",tl,0
pass,05'48",05'49",tr,0
spike,05'50",05'51",tl,0
block,05'50",05'51",bl,1
serve,06'12",06'14",bl,0
dig,06'14",06'15",tr,0
pass,06'16",06'17",tl,0
spike,06'17",06'18",tr,1
block,06'17",06'18",br,0
serve,06'51",06'52",br,0
dig,06'52",06'53",tl,0
pass,06'54",06'55",tr,0
spike,06'55",06'56",tl,0
block,06'55",06'56",bl,1
serve,07'28",07'29",br,0
serve,07'49",07'50",tl,0
dig,07'50",07'51",bl,0
pass,07'51",07'52",br,0
spike,07'52",07'53",bl,1
block,07'52",07'53",tl,0
serve,08'13",08'14",bl,0
dig,08'15",08'16",tl,0
pass,08'16",08'17",tr,0
spike,08'17",08'18",tl,0
block,08'17",08'18",bl,0
serve,08'34",08'36",bl,0
dig,08'36",08'37",tl,0
dig,08'38",08'39",tr,0
spike,08'39",08'40",tl,1
block,08'39",08'40",br,0
serve,08'58",08'59",tr,0
serve,09'17",09'18",bl,0
dig,09'19",09'20",tl,0
dig,09'20",09'21",tr,0
spike,09'21",09'22",tl,1
block,09'21",09'22",bl,0
serve,10'44",10'45",br,0
dig,10'46",10'47",tr,0
pass,10'47",10'48",tl,0
spike,10'48",10'49",tr,1
block,10'48",10'49",br,0
serve,11'08",11'09",tr,0
dig,11'09",11'10",bl,0
pass,11'11",11'12",br,0
spike,11'12",11'13",bl,0
block,11'12",11'13",tl,0
dig,11'14",11'15",tr,0
spike,11'15",11'16",tr,0
dig,11'16",11'17",bl,0
dig,11'18",11'19",tl,0
dig,11'19",11'20",tr,0
spike,11'20",11'21",tl,1
block,11'20",11'21",bl,0
serve,11'42",11'43",tr,0
dig,11'43",11'44",bl,0
pass,11'45",11'46",br,0
spike,11'47",11'48",bl,0
block,11'47",11'48",tl,0
serve,13'05",13'06",tr,0
dig,13'07",13'08",bl,0
pass,13'08",13'09",br,0
spike,13'09",13'10",bl,1
block,13'09",13'10",tl,0
serve ,13'28",13'29",bl,0
dig,13'29",13'30",tr,0
pass,13'31",13'32",tl,0
spike,13'32",13'33",tr,0
block,13'32",13'33",br,0
dig,13'33",13'34",tl,0
dig,13'34",13'35",tr,0
spike,13'35",13'36",tl,1
serve,13'58",13'59",tl,0
dig,14'00",14'01",bl,0
pass,14'01",14'02",br,0
spike,14'02",14'03",bl,1
block,14'02",14'03",tl,0
serve,14'22",14'23",br,0
dig,14'24",14'25",tr,0
pass,14'25",14'26",tl,0
spike,14'26",14'27",tr,1
block,14'26",14'27",br,0
serve,14'57",14'58",bl,0
dig,14'58",14'59",tr,0
pass,15'01",15'02",tl,0
spike,15'02",15'03",tr,1
block,15'02",15'03",br,0
serve,15'19",15'20",tl,0
dig,15'20",15'21",bl,0
pass,15'21",15'22",br,0
spike,15'22",15'23",bl,1
block,15'22",15'23",tl,0
serve,15'45",15'46",br,0
dig,15'46",15'47",tl,0
pass,15'49",15'50",tr,0
spike,15'50",15'51",tl,0
block,15'50",15'51",br,0
serve,16'14",16'15",br,0
dig,16'15",16'16",tl,0
dig,16'18",16'19",tr,0
spike,16'19",16'20",tl,1
block,16'19",16'20",bl,0
