name,start,end,position,score
serve,0'39",0'40",br,0
dig,0'40",0'41",tr,0
pass,0'41",0'42",tl,0
spike,0'42",0'43",tr,0
block,0'43",0'44",bl,0
serve,1'06",1'07",tl,0
dig,1'07",1'08",bl,0
pass,1'08",1'09",br,0
spike,1'09",1'10",bl,0
block,1'10",1'11",tl,0
serve,1'27",1'28",br,0
dig,1'28",1'29",bl,0
pass,1'29",1'30",br,0
spike,1'30",1'31",bl,0
block,1'31",1'32",tr,0
dig,1'32",1'33",br,0
dig,1'33",1'34",bl,0
spike,1'34",1'35",br,0
block,1'35",1'36",tr,0
dig,1'36",1'37",tl,0
dig,1'37",1'38",br,0
pass,1'38",1'39",bl,0
spike,1'39",1'40",br,0
block,1'40",1'41",tr,0
serve,1'58",1'59",br,1
dig,1'59",2'00",tr,0
pass,2'00",2'02",tl,0
spike,2'01",2'03",tr,0
block,2'02",2'04",br,1
serve,2'20",2'21",br,0
dig,2'21",2'22",tr,0
spike,2'22",2'23",tl,0
serve,2'41",2'42",tr,0
dig,2'42",2'43",br,0
dig,2'43",2'44",bl,0
spike,2'44",2'45",br,0
block,2'45",2'46",tr,1
serve,3'06",3'07",tr,0
dig,3'07",3'08",br,0
pass,3'08",3'09",bl,0
spike,3'09",3'10",br,0
block,3'10",3'11",tr,0
dig,3'11",3'12",tr,0
pass,3'12",3'13",tl,0
block,3'13",3'14",bl,0
serve,3'52",3'52",tr,0
serve,4'11",4'12",br,0
serve,4'25",4'26",tl,0
dig,4'26",4'27",bl,0
pass,4'27",4'28",br,0
spike,4'28",4'29",bl,0
block,4'29",4'30",tl,1
serve,4'47",4'48",tl,0
dig,4'48",4'49",bl,0
pass,4'49",4'50",br,0
spike,4'50",4'51",bl,0
block,4'51",4'52",tl,0
serve,5'13",5'14",bl,0
dig,5'14",5'15",tl,0
pass,5'15",5'16",tr,0
spike,5'16",5'17",tl,0
block,5'17",5'18",br,0
serve,5'43",5'44",bl,1
dig,5'44",5'45",tl,0
pass,5'45",5'46",tr,0
spike,5'46",5'47",tl,0
block,5'47",5'48",br,0
dig,5'48",5'49",bl,0
dig,5'49",5'50",br,0
spike,5'50",5'51",bl,0
block,5'51",5'52",tl,1
serve,6'16",6'17",bl,0
dig,6'17",6'18",tr,0
dig,6'18",6'19",tl,0
spike,6'19",6'20",tr,0
block,6'20",6'21",bl,0
dig,6'21",6'22",br,0
dig,6'22",6'23",bl,0
spike,6'23",6'24",br,0
block,6'24",6'25",tl,1
serve,6'57",6'58",tl,0
serve,7'16",7'17",br,0
dig,7'17",7'18",tl,0
pass,7'18",7'19",tr,0
spike,7'19",7'20",tl,0
block,7'20",7'21",br,0
serve,7'43",7'44",tl,0
dig,7'44",7'45",be,0
pass,7'45",7'46",bl,0
spike,7'46",7'47",br,0
block,7'47",7'48",tr,0
dig,7'48",7'49",bl,0
dig,7'49",7'50",br,0
spike,7'50",7'51",bl,0
dig,7'51",7'52",tl,0
pass,7'52",7'53",tr,0
spike,7'53",7'54",tl,0
block,7'54",7'55",bl,1
serve,8'21",8'22",tl,0
dig,8'22",8'23",br,0
serve,10'06",10'07",tl,0
dig,10'07",10'08",br,0
pass,10'08",10'09",bl,0
spike,10'09",10'10",br,0
block,10'10",10'11",tr,0
serve,10'27",10'28",br,0
dig,10'28",10'29",tr,1
serve,12'02",12'03",tr,0
dig,12'03",12'04",bl,0
pass,12'04",12'05",br,0
spike,12'05",12'06",bl,0
block,12'06",12'07",tr,0
serve,12'25",12'26",tr,0
dig,12'26",12'27",tl,0
spike,12'27",12'28",br,0
serve,12'47",12'48",bl,0
dig,12'48",12'49",tl,0
pass,12'49",12'50",tr,0
spike,12'50",12'51",tl,0
block,12'51",12'52",bl,0
dig,12'52",12'53",tl,0
dig,12'53",12'54",tr,0
serve,13'09",13'10",tr,0
dig,13'10",13'11",tr,0
pass,13'11",13'12",tl,0
spike,13'12",13'13",tr,0
block,13'13",13'14",br,0
serve,14'41",14'42",tl,0
dig,14'42",14'43",bl,0
dig,14'43",14'44",br,0
spike,14'44",14'45",bl,0
serve,15'07",15'08",br,0
serve,15'32",15'33",br,0
dig,15'33",15'34",tl,0
pass,15'34",15'35",tr,0
spike,15'35",15'36",tl,0
block,15'36",15'37",bl,1
serve,16'09",16'10",tl,0
serve,16'24",16'25",br,0
dig,16'25",16'26",tr,0
pass,16'26",16'27",tl,0
spike,16'27",16'28",tr,0
block,16'28",16'29",bl,0
serve,16'46",16'47",tr,0
dig,16'47",16'48",br,0
spike,16'48",16'49",bl,0
block,16'49",16'50",tr,0
dig,16'50",16'51",bl,0
pass,16'51",16'52",br,0
spike,16'52",16'53",bl,0
block,16'53",16'54",tl,0
serve,17'10",17'11",br,0
dig,17'11",17'12",tr,0
pass,17'12",17'13",tl,0
spike,17'13",17'14",tr,0
block,17'14",17'15",br,1
serve,17'32",17'33",br,0
dig,17'33",17'34",tr,0
spike,17'34",17'35",tl,0
block,17'35",17'36",bl,0
serve,18'00",18'01",tl,0
dig,18'01",18'02",br,0
pass,18'02",18'03",bl,0
spike,18'03",18'04",br,0
block,18'04",18'05",tr,0
dig,18'05",18'06",tl,0
dig,18'06",18'07",tr,0
dig,18'07",18'08",tl,0
dig,18'08",18'09",bl,0
pass,18'09",18'10",br,0
spike,18'10",18'11",bl,0
block,18'11",18'12",tr,0
serve,18'43",18'44",br,0
dig,18'44",18'45",tr,0
pass,18'45",18'46",tl,0
spike,18'46",18'47",tr,0
block,18'47",18'48",br,0
serve,19'24",19'25",bl,0
dig,19'25",19'26",tl,0
pass,19'26",19'27",tr,0
spike,19'27",19'28",tl,0
block,19'28",19'29",bl,0
serve,19'50",19'51",tl,0
dig,19'51",19'52",bl,0
pass,19'52",19'53",br,0
spike,19'53",19'54",bl,0
block,19'54",19'55",tr,0
serve,20'17",20'18",br,0
dig,20'18",20'19",tr,0
