name,start,end,position,score
serve,00'22",00'23",bl,0
dig,00'24",00'25",tl,0
pass,00'25",00'26",tr,0
spike,00'26",00'27",tl,1
block,00'26",00'27",br,0
serve,00'44",00'45",tr,0
dig,00'45",00'46",bl,0
dig,00'47",00'48",br,0
spike,00'48",00'49",bl,0
block,00'48",00'49",tl,0
dig,00'49",00'50",tr,0
dig,00'51",00'52",tl,0
spike,00'52",00'53",tr,0
dig,00'53",00'54",bl,0
spike,00'54",00'55",br,1
dig,00'55",00'56",tr,0
serve,01'14",01'15",br,0
dig,01'16",01'17",tr,0
dig,01'17",01'18",tl,0
spike,01'18",01'19",tr,1
block,01'18",01'19",br,0
dig,01'19",01'20",br,0
serve,01'37",01'38",tr,0
serve,01'54",01'55",bl,0
serve,02'10",02'11",tr,0
dig,02'11",02'12",tr,0
dig,02'12",02'13",tl,0
spike,02'14",02'15",br,0
block,02'14",02'15",tr,0
dig,02'15",02'16",tl,0
dig,02'16",02'17",tr,0
spike,02'17",02'18",tl,0
pass,02'18",02'19",bl,0
dig,02'19",02'20",br,0
spike,02'20",02'21",bl,0
block,02'20",02'21",tl,0
dig,02'21",02'22",tl,0
spike,02'22",02'23",tr,0
pass,02'23",02'24",bl,0
dig,02'25",02'26",br,0
spike,02'27",02'28",bl,1
block,02'27",02'28",tl,0
serve,02'49",02'50",br,0
dig,02'51",02'52",tr,0
dig,02'52",02'53",tl,0
spike,02'53",02'54",tr,1
block,02'53",02'54",br,0
serve,03'25",03'26",bl,0
dig,03'27",03'28",tl,0
dig,03'28",03'29",tr,0
spike,03'29",03'30",tl,1
block,03'29",03'30",bl,0
serve,03'48",03'49",tr,0
dig,03'49",03'50",bl,0
dig,03'51",03'52",br,0
spike,03'52",03'53",bl,0
dig,03'53",03'54",tl,0
spike,03'54",03'55",tr,1
block,03'54",03'55",bl,0
serve,04'15",04'16",tr,1
dig,04'17",04'18",bl,0
serve,04'36",04'37",tr,0
dig,04'38",04'39",bl,0
pass,04'39",04'40",br,0
spike,04'40",04'41",bl,1
block,04'40",04'41",tl,0
dig,04'41",04'42",tr,0
serve,04'59",05'00",bl,0
dig,05'00",05'01",tr,0
dig,05'02",05'03",tl,0
spike,05'03",05'04",tr,0
block,05'03",05'04",br,0
dig,05'04",05'05",bl,0
dig,05'05",05'06",tl,0
dig,05'07",05'08",tr,0
spike,05'08",05'09",tl,0
block,05'08",05'09",bl,0
dig,05'09",05'10",br,0
dig,05'11",05'12",bl,0
spike,05'12",05'13",br,1
block,05'12",05'13",tl,0
serve,05'32",05'33",bl,0
serve,05'51",05'52",tl,0
dig,05'53",05'54",bl,0
dig,05'54",05'55",bl,0
spike,05'55",05'56",br,1
block,05'55",05'56",tr,0
serve,06'26",06'27",tl,0
serve,06'42",06'43",bl,0
dig,06'44",06'45",tl,0
dig,06'45",06'46",tl,0
spike,06'47",06'48",tr,0
block,06'47",06'48",bl,0
serve,07'04",07'05",bl,0
dig,07'05",07'06",tr,0
dig,07'07",07'08",tl,0
spike,07'09",07'10",tr,1
block,07'09",07'10",br,0
serve,07'27",07'28",tr,0
serve,07'45",07'46",br,0
dig,07'46",07'47",tr,0
pass,07'47",07'48",tl,0
spike,07'49",07'50",tr,1
block,07'49",07'50",br,0
serve,08'10",08'12",tl,0
serve,08'24",08'25",bl,0
dig,08'26",08'27",tr,0
pass,08'28",08'29",tl,0
spike,08'29",08'30",tr,0
block,08'29",08'30",br,1
serve,09'45",09'47",tr,0
serve,10'00",10'01",bl,0
dig,10'01",10'02",tr,0
dig,10'02",10'03",tl,0
spike,10'04",10'05",tr,1
block,10'04",10'05",br,0
serve,10'25",10'26",tl,1
dig,10'26",10'27",br,0
serve,10'46",10'47",tl,0
dig,10'48",10'49",bl,0
dig,10'49",10'50",bl,0
spike,10'50",10'51",br,1
block,10'50",10'51",tr,0
serve,11'07",11'08",br,0
serve,11'24",11'25",tr,0
dig,11'26",11'27",bl,0
pass,11'27",11'28",br,0
spike,11'28",11'29",bl,0
block,11'28",11'29",tl,0
serve  ,12'40",12'42",tr,0
dig,12'42",12'43",bl,0
dig,12'43",12'44",br,0
spike,12'44",12'45",bl,1
block,12'44",12'45",tl,0
dig,12'45",12'46",tr,0
serve,13'17",13'18",tl,0
dig,13'19",13'20",br,0
dig,13'20",13'21",bl,0
spike,13'21",13'22",br,1
block,13'21",13'22",tr,0
serve,13'39",13'40",br,1
dig,13'40",13'41",tr,0
serve,14'08",14'10",br,0
serve,14'22",14'23",tr,0
dig,14'23",14'24",bl,0
spike,14'24",14'25",bl,0
dig,14'26",14'27",tl,0
dig,14'27",14'28",tr,0
spike,14'28",14'29",tl,1
block,14'28",14'29",bl,0
dig,14'29",14'30",br,0
serve,14'57",14'59",tr,0
serve,15'12",15'13",bl,0
dig,15'14",15'15",tr,0
pass,15'15",15'16",tl,0
spike,15'16",15'17",tr,0
block,15'16",15'17",bl,0
dig,15'17",15'18",tr,0
dig,15'19",15'20",br,0
dig,15'20",15'21",bl,0
spike,15'21",15'22",br,1
block,15'21",15'22",tr,0
serve,15'41",15'42",bl,0
dig,15'42",15'43",tr,0
pass,15'43",15'44",tl,0
spike,15'45",15'46",tr,1
block,15'45",15'46",br,0
serve,16'13",16'14",bl,0
dig,16'14",16'15",tr,0
dig,16'16",16'17",tr,0
spike,16'17",16'18",tl,1
block,16'17",16'18",br,0
serve,17'40",17'41",bl,0
dig,17'41",17'42",tr,0
dig,17'43",17'44",tr,0
spike,17'45",17'46",tl,0
block,17'45",17'46",br,0
dig,17'46",17'47",bl,0
dig,17'47",17'48",bl,0
spike,17'48",17'49",br,0
dig,17'49",17'50",tr,0
dig,17'51",17'52",tl,0
spike,17'52",17'53",tr,1
block,17'52",17'53",br,0
dig,17'53",17'54",br,0
serve,18'15",18'16",tr,0
dig,18'16",18'17",bl,0
pass,18'18",18'19",br,0
spike,18'20",18'21",bl,0
block,18'20",18'21",tl,0
dig,18'21",18'22",tr,0
dig,18'23",18'24",tl,0
spike,18'24",18'25",tr,0
block,18'24",18'25",br,0
serve,18'44",18'45",br,0
dig,18'45",18'46",tr,0
dig,18'47",18'48",tl,0
spike,18'48",18'49",tr,1
block,18'48",18'49",br,0
serve,19'09",19'10",tl,0
dig,19'11",19'12",br,0
pass,19'12",19'13",bl,0
spike,19'13",19'14",br,1
block,19'13",19'14",tr,0
serve,19'30",19'31",br,1
dig,19'31",19'32",tr,0
serve,19'44",19'46",br,0
dig,19'46",19'47",tl,0
dig,19'47",19'48",tr,0
dig,19'49",19'50",tl,0
dig,19'51",19'52",br,0
pass,19'53",19'54",br,0
spike,19'54",19'55",br,0
block,19'54",19'55",tl,0
serve,20'19",20'20",tr,0
dig,20'20",20'21",bl,0
pass,20'22",20'23",br,0
spike,20'23",20'24",bl,1
block,20'23",20'24",tl,0
serve,20'53",20'54",tl,0
dig,20'54",20'55",bl,0
dig,20'56",20'57",br,0
spike,20'58",20'59",bl,0
serve,21'15",21'16",tl,0
dig,21'17",21'18",br,0
dig,21'18",21'19",bl,0
spike,21'20",21'21",br,1
block,21'20",21'21",tr,0
serve,21'40",21'41",br,0
serve,21'58",21'59",tr,0
dig,21'59",22'00",bl,0
dig,22'01",22'02",br,0
spike,22'02",22'03",bl,0
block,22'02",22'03",tl,0
dig,22'03",22'04",tr,0
dig,22'05",22'06",tl,0
spike,22'06",22'07",tr,1
block,22'06",22'07",bl,0
pass,22'07",22'08",br,0
serve,22'23",22'24",tr,0
serve,22'41",22'42",bl,0
dig,22'43",22'44",tr,0
pass,22'45",22'46",tl,0
spike,22'46",22'47",tr,0
block,22'46",22'47",br,0
dig,22'47",22'48",br,0
dig,22'49",22'50",bl,0
spike,22'50",22'51",br,0
block,22'50",22'51",tr,0
serve,23'09",23'10",tl,1
serve,23'38",23'40",tl,0
dig,23'41",23'42",bl,0
pass,23'42",23'43",br,0
spike,23'44",23'45",bl,1
block,23'44",23'45",tl,0
serve,23'59",24'00",br,0
dig,24'01",24'02",tr,0
dig,24'03",24'04",tl,0
spike,24'05",24'06",tr,0
block,24'05",24'06",br,0
dig,24'06",24'07",bl,0
pass,24'07",24'08",br,0
spike,24'08",24'09",bl,1
block,24'08",24'09",tl,0
