name,start,end,position,score
serve,"08'55""","08'56""",br,0
dig,"08'56""","08'57""",bl,0
pass,"08'58""","08'59""",tl,0
spike,"08'59""","09'00""",bl,0
block,"08'59""","09'00""",br,1
serve,"09'16""","09'17""",br,0
dig,"09'18""","09'19""",bl,0
pass,"09'19""","09'20""",tl,0
spike,"09'21""","09'22""",tl,1
block,"09'21""","09'22""",tr,0
serve,"09'41""","09'42""",bl,0
dig,"09'42""","09'44""",tr,0
spike,"09'45""","09'46""",br,1
block,"09'45""","09'46""",tl,0
serve,"10'04""","10'05""",tr,0
dig,"10'05""","10'06""",bl,0
pass,"10'06""","10'07""",tl,0
spike,"10'08""","10'09""",bl,0
block,"10'08""","10'09""",br,0
dig,"10'10""","10'11""",tr,0
dig,"10'11""","10'12""",br,0
spike,"10'12""","10'13""",tr,0
block,"10'12""","10'13""",tl,0
dig,"10'13""","10'14""",tl,0
dig,"10'15""","10'16""",br,0
dig,"10'16""","10'17""",tr,0
spike,"10'18""","10'19""",br,0
block,"10'18""","10'19""",bl,0
dig,"10'19""","10'20""",tl,0
spike,"10'20""","10'21""",bl,0
block,"10'20""","10'21""",br,0
serve,"10'42""","10'43""",br,0
dig,"10'43""","10'44""",bl,0
pass,"10'45""","10'47""",tl,0
spike,"10'47""","10'48""",bl,1
block,"10'47""","10'48""",br,0
serve,"11'08""","11'09""",bl,0
dig,"11'09""","11'10""",tr,0
dig,"11'11""","11'12""",br,0
spike,"11'13""","11'14""",tr,1
block,"11'13""","11'14""",tl,0
serve,"11'28""","11'29""",br,0
dig,"11'29""","11'30""",bl,0
pass,"11'30""","11'31""",tl,0
spike,"11'31""","11'33""",bl,0
block,"11'32""","11'33""",br,0
dig,"11'33""","11'34""",tr,0
dig,"11'34""","11'35""",bl,0
pass,"11'36""","11'37""",tl,0
spike,"11'37""","11'38""",bl,1
block,"11'37""","11'38""",br,0
serve,"12'17""","12'18""",tr,1
dig,"12'18""","12'19""",bl,0
serve,"12'40""","12'41""",tr,0
dig,"12'41""","12'42""",bl,0
dig,"12'42""","12'43""",tl,0
spike,"12'43""","12'44""",bl,1
block,"12'43""","12'44""",br,0
dig,"12'44""","12'45""",tr,0
serve,"13'05""","13'06""",tl,0
dig,"13'06""","13'07""",tr,0
spike,"13'08""","13'09""",br,1
block,"13'08""","13'09""",bl,0
serve,"13'28""","13'29""",tr,0
dig,"13'29""","13'30""",bl,0
dig,"13'31""","13'32""",tl,0
spike,"13'33""","13'34""",bl,1
block,"13'33""","13'34""",tr,0
serve,"13'50""","13'51""",bl,0
dig,"13'51""","13'52""",tr,0
dig,"13'52""","13'53""",br,0
spike,"13'53""","13'54""",tr,1
block,"13'53""","13'54""",tl,0
serve,"14'17""","14'18""",tr,0
dig,"14'18""","14'19""",bl,0
dig,"14'20""","14'21""",tl,0
spike,"14'21""","14'22""",bl,1
block,"14'21""","14'22""",tr,0
dig,"14'39""","14'40""",tr,0
pass,"14'41""","14'42""",br,0
spike,"14'42""","14'43""",tr,1
block,"14'42""","14'43""",tl,0
serve,"15'21""","15'22""",bl,0
dig,"15'22""","15'23""",tr,0
dig,"15'24""","15'25""",br,0
spike,"15'26""","15'27""",tr,0
block,"15'26""","15'27""",tl,0
serve,"15'45""","15'46""",tl,0
dig,"15'46""","15'47""",tr,0
dig,"15'47""","15'48""",br,0
spike,"15'48""","15'49""",tr,0
block,"15'48""","15'49""",tl,0
serve,"16'09""","16'10""",br,0
dig,"16'11""","16'12""",bl,0
dig,"16'12""","16'13""",bl,0
spike,"16'13""","16'14""",tl,1
block,"16'13""","16'14""",tr,0
serve,"16'44""","16'45""",bl,0
dig,"16'45""","16'46""",tr,0
dig,"16'47""","16'48""",br,0
spike,"16'48""","16'49""",tr,0
block,"16'48""","16'49""",tl,1
dig,"16'49""","16'50""",tr,0
serve,"17'12""","17'13""",bl,0
dig,"17'14""","17'15""",tr,0
dig,"17'15""","17'16""",br,0
spike,"17'17""","17'18""",tr,0
block,"17'17""","17'18""",tl,1
serve,"17'56""","17'57""",bl,0
dig,"17'57""","17'58""",tr,0
spike,"17'58""","17'59""",br,1
block,"17'58""","17'59""",tl,0
serve,"19'23""","19'24""",tl,0
dig,"19'24""","19'25""",tr,0
pass,"19'25""","19'26""",br,0
spike,"19'27""","19'28""",tr,1
block,"19'27""","19'28""",tl,0
serve,"19'49""","19'50""",tr,0
dig,"19'50""","19'51""",bl,0
dig,"19'51""","19'52""",tl,0
spike,"19'53""","19'54""",bl,0
block,"19'53""","19'54""",br,1
serve,"21'19""","21'20""",tr,0
dig,"21'20""","21'21""",bl,0
dig,"21'21""","21'22""",tl,0
spike,"21'23""","21'24""",bl,0
block,"21'23""","21'24""",br,0
dig,"21'23""","21'24""",bl,0
dig,"21'24""","21'25""",tl,0
spike,"21'26""","21'27""",tl,0
block,"21'26""","21'27""",br,0
dig,"21'27""","21'28""",tr,0
pass,"21'29""","21'30""",br,0
spike,"21'30""","21'31""",tr,1
block,"21'30""","21'31""",tl,0
serve,"21'51""","21'52""",tr,0
dig,"21'52""","21'53""",bl,0
spike,"21'53""","21'54""",tl,0
block,"21'53""","21'54""",br,0
pass,"21'55""","21'56""",tl,0
dig,"21'56""","21'57""",bl,0
spike,"21'58""","21'59""",tl,0
block,"21'58""","21'59""",br,0
dig,"21'59""","22'00""",tr,0
dig,"22'00""","22'01""",tl,0
dig,"22'01""","22'02""",bl,0
spike,"22'03""","22'04""",tl,0
block,"22'03""","22'04""",tr,0
serve,"22'26""","22'27""",br,0
dig,"22'27""","22'28""",bl,0
dig,"22'28""","22'29""",tl,0
spike,"22'30""","22'31""",bl,0
dig,"22'31""","22'32""",br,0
dig,"22'32""","22'33""",tr,0
spike,"22'34""","22'35""",br,0
block,"22'34""","22'35""",bl,0
dig,"22'36""","22'37""",tl,0
spike,"22'37""","22'38""",bl,1
block,"22'37""","22'38""",br,0
dig,"22'38""","22'39""",tr,0
serve,"22'59""","23'00""",tl,0
dig,"23'01""","23'02""",tr,0
spike,"23'02""","23'03""",br,0
block,"23'02""","23'03""",bl,0
dig,"23'03""","23'04""",tl,0
dig,"23'04""","23'05""",bl,0
spike,"23'06""","23'07""",tl,0
serve,"23'29""","23'30""",tr,0
dig,"23'30""","23'31""",bl,0
dig,"23'31""","23'32""",tl,0
spike,"23'33""","23'34""",bl,1
block,"23'33""","23'34""",br,0
serve,"24'14""","24'15""",br,0
dig,"24'15""","24'16""",bl,0
pass,"24'17""","24'18""",tl,0
spike,"24'18""","24'19""",bl,1
block,"24'18""","24'19""",br,0
dig,"24'36""","24'37""",br,0
spike,"24'38""","24'39""",tr,1
block,"24'38""","24'39""",tl,0
serve,"24'58""","24'59""",br,0
dig,"25'00""","25'01""",bl,0
dig,"25'01""","25'02""",tl,0
spike,"25'02""","25'03""",bl,1
block,"25'03""","25'04""",br,0
serve,"25'23""","25'24""",bl,0
dig,"25'24""","25'25""",tr,0
spike,"25'26""","25'27""",br,0
block,"25'26""","25'27""",tl,0
dig,"25'26""","25'27""",tl,0
dig,"25'27""","25'28""",bl,0
spike,"25'29""","25'30""",bl,0
dig,"25'30""","25'31""",tr,0
dig,"25'31""","25'32""",br,0
spike,"25'32""","25'33""",tr,0
serve,"25'52""","25'54""",bl,1
