name,start,end,position,score
serve,"00'23""","00'24""",tl,0
dig,"00'24""","00'25""",br,0
dig,"00'25""","00'26""",tr,0
spike,"00'27""","00'28""",br,0
dig,"00'28""","00'29""",bl,0
dig,"00'29""","00'30""",tl,0
spike,"00'30""","00'31""",bl,1
serve,"00'52""","00'53""",bl,0
dig,"00'53""","00'54""",br,0
dig,"00'54""","00'55""",tr,0
spike,"00'57""","00'58""",br,0
block,"00'57""","00'58""",bl,0
dig,"00'57""","00'58""",tl,0
dig,"00'58""","00'59""",tr,0
dig,"01'01""","01'02""",br,0
spike,"01'02""","01'03""",tr,0
block,"01'02""","01'03""",tl,0
dig,"01'03""","01'04""",bl,0
dig,"01'04""","01'05""",bl,0
spike,"01'05""","01'06""",tl,1
dig,"01'07""","01'08""",tr,0
dig,"01'08""","01'09""",br,0
serve,"01'42""","01'43""",bl,0
dig,"01'43""","01'44""",br,0
dig,"01'44""","01'45""",tr,0
spike,"01'46""","01'47""",br,1
block,"01'46""","01'47""",bl,0
serve,"02'11""","02'12""",tr,0
dig,"02'12""","02'13""",bl,0
pass,"02'14""","02'15""",tl,0
spike,"02'16""","02'17""",bl,0
block,"02'16""","02'17""",br,1
serve,"02'44""","02'45""",br,0
dig,"02'45""","02'46""",bl,0
pass,"02'46""","02'47""",tl,0
spike,"02'47""","02'48""",bl,0
block,"02'47""","02'48""",br,1
serve,"03'17""","03'18""",br,0
dig,"03'18""","03'19""",bl,0
pass,"03'19""","03'20""",bl,0
spike,"03'21""","03'22""",tl,0
block,"03'21""","03'22""",tr,0
serve,"04'41""","04'42""",br,0
dig,"04'42""","04'43""",bl,0
dig,"04'44""","04'45""",tl,0
spike,"04'45""","04'46""",bl,0
block,"04'45""","04'46""",br,0
serve,"05'32""","05'33""",tl,1
serve,"06'51""","06'52""",tl,0
dig,"06'52""","06'53""",tr,0
dig,"06'54""","06'55""",br,0
spike,"06'56""","06'57""",tr,0
dig,"06'56""","06'57""",bl,0
dig,"06'58""","06'59""",tl,0
spike,"07'00""","07'01""",bl,1
block,"07'00""","07'01""",br,0
serve,"07'27""","07'28""",tl,1
dig,"07'28""","07'29""",tr,0
serve,"07'55""","07'56""",tl,0
dig,"07'56""","07'57""",br,0
pass,"07'57""","07'58""",br,0
spike,"07'59""","08'00""",tr,0
block,"07'59""","08'00""",tl,0
serve,"08'27""","08'28""",tl,0
dig,"08'28""","08'29""",tr,0
spike,"08'29""","08'30""",br,0
dig,"08'30""","08'31""",bl,0
dig,"08'31""","08'32""",tl,0
spike,"08'33""","08'34""",bl,1
serve,"09'07""","09'08""",bl,0
dig,"09'07""","09'08""",br,0
pass,"09'09""","09'10""",tr,0
spike,"09'10""","09'11""",br,1
block,"09'10""","09'11""",bl,0
serve,"09'34""","09'35""",br,0
dig,"09'35""","09'36""",tl,0
dig,"09'37""","09'38""",tl,0
spike,"09'39""","09'40""",bl,0
block,"09'39""","09'40""",br,0
serve,"10'20""","10'21""",bl,0
dig,"10'21""","10'22""",br,0
dig,"10'23""","10'24""",tr,0
spike,"10'25""","10'26""",br,0
block,"10'25""","10'26""",bl,0
dig,"10'26""","10'27""",tl,0
dig,"10'27""","10'28""",bl,0
spike,"10'28""","10'29""",tl,0
block,"10'28""","10'29""",tr,0
dig,"10'29""","10'30""",br,0
dig,"10'31""","10'32""",tr,0
serve,"11'03""","11'04""",bl,0
serve,"11'27""","11'28""",tr,1
dig,"11'28""","11'29""",bl,0
serve,"11'49""","11'50""",tr,0
dig,"11'50""","11'51""",bl,0
dig,"11'52""","11'53""",tl,0
spike,"11'53""","11'54""",bl,0
dig,"11'54""","11'55""",br,0
dig,"11'55""","11'56""",tr,0
spike,"11'57""","11'58""",br,1
block,"11'57""","11'58""",bl,0
serve,"12'22""","12'23""",tr,1
serve,"12'41""","12'42""",tr,0
dig,"12'43""","12'44""",bl,0
spike,"12'45""","12'46""",tl,1
block,"12'45""","12'46""",br,0
serve,"13'12""","13'13""",tl,1
dig,"13'13""","13'14""",br,0
serve,"14'34""","14'35""",br,0
dig,"14'35""","14'36""",tl,0
dig,"14'36""","14'37""",bl,0
spike,"14'38""","14'39""",tl,0
block,"14'38""","14'39""",tr,0
dig,"14'39""","14'40""",tr,1
serve,"14'59""","15'00""",br,0
dig,"15'00""","15'01""",tl,0
dig,"15'01""","15'02""",bl,0
spike,"15'02""","15'03""",tl,0
block,"15'02""","15'03""",tr,0
serve,"16'17""","16'18""",br,0
serve,"16'39""","16'40""",bl,0
dig,"16'40""","16'41""",tr,0
pass,"16'42""","16'43""",br,0
spike,"16'44""","16'45""",tr,1
block,"16'44""","16'45""",tl,0
serve,"17'04""","17'05""",tr,0
dig,"17'06""","17'07""",tl,0
dig,"17'07""","17'08""",tl,0
spike,"17'08""","17'09""",bl,0
dig,"17'09""","17'10""",tr,0
spike,"17'10""","17'11""",br,0
block,"17'11""","17'12""",bl,0
dig,"17'11""","17'12""",tl,0
dig,"17'14""","17'15""",tr,0
dig,"17'15""","17'16""",br,0
spike,"17'17""","17'18""",tr,1
serve,"17'50""","17'51""",tr,0
dig,"17'52""","17'53""",tl,0
dig,"17'53""","17'54""",bl,0
spike,"17'55""","17'56""",tl,0
block,"17'55""","17'56""",br,0
dig,"17'56""","17'57""",tr,0
dig,"17'57""","17'58""",br,0
spike,"17'59""","18'00""",tr,0
dig,"18'00""","18'01""",tl,0
dig,"18'02""","18'03""",bl,0
spike,"18'03""","18'04""",tl,1
block,"18'03""","18'04""",tr,0
serve,"18'36""","18'37""",bl,0
serve,"19'20""","19'21""",tl,1
dig,"19'21""","19'22""",tr,0
serve,"19'40""","19'41""",tl,0
dig,"19'42""","19'43""",tr,0
dig,"19'44""","19'45""",br,0
spike,"19'45""","19'46""",tr,1
block,"19'45""","19'46""",tl,0
serve,"20'09""","20'10""",tr,0
dig,"20'11""","20'12""",bl,0
pass,"20'13""","20'14""",tl,0
spike,"20'14""","20'15""",bl,0
block,"20'14""","20'15""",br,0
serve,"20'37""","20'38""",tr,0
dig,"21'00""","21'01""",br,0
dig,"21'01""","21'02""",tr,0
spike,"21'03""","21'04""",br,1
block,"21'03""","21'04""",bl,0
serve,"21'25""","21'26""",tr,0
dig,"21'27""","21'28""",bl,0
pass,"21'29""","21'30""",tl,0
spike,"21'30""","21'31""",tl,0
dig,"21'31""","21'32""",br,0
dig,"21'32""","21'33""",tr,0
spike,"21'34""","21'35""",br,1
block,"21'34""","21'35""",tl,0
dig,"21'35""","21'36""",bl,0
serve,"22'03""","22'04""",tr,0
dig,"22'05""","22'06""",bl,0
spike,"22'06""","22'07""",tl,1
serve,"22'52""","22'53""",tr,0
dig,"22'54""","22'55""",tl,0
dig,"22'56""","22'57""",bl,0
spike,"22'57""","22'58""",tl,0
block,"22'57""","22'58""",tr,0
serve,"23'15""","23'16""",tr,0
